m/z,intensity,formula
976.0828776957819,3264729.224981951,C50H27N1O19S1
921.3187379446625,3139731.026752971,C47H54O19
897.2822300657439,3213902.919405124,C44H50O20
895.3392334729482,3084713.7163281394,C46H56O18
881.2498217534023,3148199.344889815,C35H50N2O22S1
879.3084995075417,3050631.8643467748,C45H52O18
877.2926829333305,3157367.4362488366,C45H50O18
873.3175513091942,3939870.989979815,C35H58N2O21S1
873.2236215140941,3207010.6477464247,C36H46N2O21S1
867.3079141815982,3189049.736531439,C44H52O18
867.2708069559193,3109124.9125622725,C35H52N2O21S1
861.2823532438192,3561666.1770640383,C41H50O20
859.3027178073497,3754848.722607065,C42H52O19
855.2343617289201,3953759.885365271,C33H48N2O22S1
845.250066654758,4083183.0480243713,C32H50N2O22S1
843.2712932994012,3821432.581768424,C41H48O19
843.2348516682998,3547328.9719439526,C40H44O20
841.2927861896607,3946134.5610438064,C42H50O18
841.2192565656902,3344296.9750986723,C40H42O20
839.3491597800318,3351890.4778331392,C44H56O16
833.3233837179158,3564232.476969181,C41H54O18
833.2870458878771,4285857.098367412,C40H50O19
833.2506188992461,3742547.663282614,C39H46O20
831.3072162043395,4142292.9980053054,C33H56N2O20S1
829.2919870560407,4366175.5888332585,C41H50O18
827.276924134856,4954039.115033567,C41H48O18
827.2404490686475,3639860.807275652,C40H44O19
827.1672067299252,3047605.291642227,C38H36O21
825.29758724085,3592576.1969182943,C42H50O17
823.2822255057365,3241540.365324486,C42H48O17
821.2302779336787,3248278.368708182,C41H42O18
819.3084741226801,3136291.1498365407,C40H52O18
819.2718092050692,3679146.6893025106,C39H48O19
817.2928989928469,3698016.7808900834,C40H50O18
817.2563947619669,3535304.852836808,C39H46O19
817.2199026540543,3532733.8106568838,C38H42O20
815.3135730285642,4142504.6568948873,C41H52O17
815.2404847388955,3739512.213781228,C39H44O19
813.2978602922345,4756145.958990451,C41H50O17
811.2821362633314,3345760.19006435,C41H48O17
811.2087579177488,3116827.5574736726,C39H40O19
805.2924040912711,3784392.5994233903,C39H50O18
805.2562163062247,3756180.2343330914,C38H46O19
803.3122626639677,4150294.9276158903,C32H56N2O19S1
803.2764575579848,4166018.436553358,C39H48O18
803.2402073308847,3224497.9604768213,C38H44O19
801.3338227204617,3189807.011006522,C41H54O16
801.2243062613002,3299200.456448971,C38H42O19
799.245150469939,5125111.227199882,C39H44O18
799.1724497481251,3251383.405354929,C37H36O20
797.3023848412074,4720250.864229961,C41H50O16
797.2657927324148,4745781.873434878,C40H46O17
797.229547644228,3804229.2468618467,C39H42O18
795.3232522124615,3381753.521217146,C42H52O15
795.2873064540963,3982216.1339380844,C41H48O16
795.2143009213445,3649616.2953895186,C39H40O18
793.2562459063913,3089687.367869215,C37H46O19
793.2200501447675,3156105.4783712113,C36H42O20
791.2765620931888,4688040.190379216,C38H48O18
791.2405873957051,3536875.1771717584,C37H44O19
791.2195572885819,3312708.5748250033,C40H40O17
791.1827095064028,3322082.1227231105,C39H36O18
787.2815842084474,7001540.390021093,C39H48O17
787.2455367891338,5639290.906599747,C38H44O18
787.2089667974791,3344832.221446776,C37H40O19
787.1726905829692,3596581.4132497134,C36H36O20
785.3027784502167,4090928.026134363,C40H50O16
785.2301547210085,4628467.436325003,C38H42O18
783.3237059239941,3178670.2741832817,C41H52O15
783.2873685521085,4859924.601754994,C40H48O16
783.2507086695337,5970268.803850282,C39H44O17
783.2142802782704,4811091.893795271,C38H40O18
783.1778969916885,3918538.347643086,C37H36O19
781.307550064615,3495173.939092447,C41H50O15
781.2710251050213,4733473.403054662,C40H46O16
781.2345586456577,4450789.513076119,C39H42O17
779.2919027277936,3327242.7722522262,C41H48O15
779.276763469904,3713445.9072113778,C37H48O18
779.2560572874253,3996428.2734897626,C40H44O16
779.1833035710998,3059658.3025611383,C38H36O18
777.334180522012,3491702.282793772,C39H54O16
777.2978561142288,4938643.3779538665,C38H50O17
777.2615688081692,5216217.492134523,C37H46O18
775.318354666597,4255143.81730566,C39H52O16
775.2818366280175,6442029.737788479,C38H48O17
775.2453753841137,5292305.086290112,C37H44O18
