,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
0,2,697.0124289136546,697.0139687420392,697.0141083747677,5958900.047809674,18137.862280448866,221791.449908604,5.003217813330451,-1,-0.20032984532383152,0.8001502021390507,0.0,0.4800901212834304,22.0,0.6,0.6,S1 O18,de-protonated,0.0,,C30 H18 O18 S1,30.0,18.0,18.0,1.0,,,,,
1,3,696.2648717559331,696.2664103665365,696.2661639129021,4326687.131192526,14335.74449397997,222029.9498956831,3.6327775183017272,-1,0.3539646864824606,0.4985451574154098,0.0,0.29912709444924585,16.0,1.1944444444444444,0.3611111111111111,N1 O13,de-protonated,0.0,,C36 H43 O13 N1,36.0,43.0,13.0,,1.0,,,,
2,5,695.2235113379808,695.2250482510908,695.2251465168545,3839739.4047753736,12589.44769287741,222362.44989142375,3.2239259652593875,-1,-0.1413437994100864,0.8949483465438857,0.0,0.5369690079263314,4.0,1.76,0.88,O22,de-protonated,0.0,,C25 H44 O22,25.0,44.0,22.0,,,,,,
3,10,690.2879544420498,690.2894832923821,690.2894828147923,6273301.553790905,20098.513016997902,223951.94989743902,5.2671959305404235,-1,0.0006918688129527558,0.9999973406565675,0.0,0.5999984043939405,21.0,1.0714285714285714,0.14285714285714285,N1 S1 O6,de-protonated,0.0,,C42 H45 O6 S1 N1,42.0,45.0,6.0,1.0,1.0,,,,
4,12,681.208293830366,681.2098077727494,681.2094964523765,7950929.80200528,25276.445378476834,226936.94989263284,6.6757678931961415,-1,0.45701120514499094,0.31338302323841577,0.0,0.18802981394304946,4.0,1.75,0.9166666666666666,O22,de-protonated,0.0,,C24 H42 O22,24.0,42.0,22.0,,,,,,
5,13,679.192513582253,679.1940242016766,679.1938463878985,15667840.645196734,48393.79861798628,227610.94989444566,13.155048546465386,-1,0.26180122076876017,0.3416650912020015,0.7927089175546819,0.5220826217430736,5.0,1.6666666666666667,0.9166666666666666,O22,de-protonated,0.0,,C24 H40 O22,24.0,40.0,22.0,,,,,,
6,14,679.0019626651733,679.0034729702301,679.003543690718,11986049.927208645,38878.727494406216,227674.44989224387,10.063739620757916,-1,-0.10415334137903076,0.47075692802346975,0.7536525541217873,0.5839151784627967,23.0,0.5333333333333333,0.5666666666666667,S1 O17,de-protonated,0.0,,C30 H16 O17 S1,30.0,16.0,17.0,1.0,,,,,
7,19,673.1585883827469,673.1600890266576,673.1597887965906,11407100.879841756,34694.50817113396,183720.75992004486,9.577641823587877,-1,0.4460011901360471,0.16558974467461465,0.6339253677789722,0.3529239939163577,43.0,0.41509433962264153,0.018867924528301886,O1,de-protonated,0.0,,C53 H22 O1,53.0,22.0,1.0,,,,,,
8,20,671.1790178670074,671.1805152288282,671.1803858572111,4966414.458760668,14482.493051521864,230328.44990060365,4.16990603787468,-1,0.1927523803964732,0.8135009186663699,0.0,0.4881005511998219,16.0,1.0909090909090908,0.3939393939393939,S1 O13,de-protonated,0.0,,C33 H36 O13 S1,33.0,36.0,13.0,1.0,,,,,
9,21,671.16943676537,671.1709341112944,671.1711413270267,7035888.819906454,22685.461705432823,230331.6998756382,5.907480238623543,-1,-0.3087375477632334,0.5888703156956269,0.0,0.3533221894173761,30.0,0.6511627906976745,0.18604651162790697,O8,de-protonated,0.0,,C43 H28 O8,43.0,28.0,8.0,,,,,,
10,25,665.2132429483617,665.2147303909866,665.2145818328048,11672765.40449333,35345.292698328994,232393.6999612502,9.800699346191447,-1,0.22332370008183403,0.7579977503558436,0.0,0.45479865021350613,4.0,1.75,0.875,O21,de-protonated,0.0,,C24 H42 O21,24.0,42.0,21.0,,,,,,
11,30,658.1666696345682,658.1681453066996,658.1680906278054,37182806.71738127,110791.81204276354,234882.19991270077,31.219466583670243,-1,0.08307740058367355,0.3849528699441863,0.8598334829537473,0.5749051151480107,16.0,1.096774193548387,0.41935483870967744,13C1 S1 O13,de-protonated,1.0,32.0,C31 H34 O13 S1 13C1,31.0,34.0,13.0,1.0,,1.0,,,
12,31,658.158600056411,658.1600757150295,658.1599847649261,7530467.545713011,21546.23416926302,234884.6999166112,6.322738939255583,-1,0.13818844280766085,0.8993444743099588,0.0,0.5396066845859753,16.0,1.064516129032258,0.41935483870967744,N1 S1 O13,de-protonated,0.0,,C31 H33 O13 S1 N1,31.0,33.0,13.0,1.0,1.0,,,,
13,32,657.1633306691459,657.1648046605341,657.1647357927332,165203999.87716982,487422.9960386828,235240.44989965454,138.7087530227521,-1,0.10479533845111429,0.38063892640439717,0.8598334829537473,0.5723167490241372,16.0,1.0625,0.40625,S1 O13,de-protonated,0.0,,C32 H34 O13 S1,32.0,34.0,13.0,1.0,,,,,
14,33,657.1592340401526,657.1607080246757,657.1608514250264,3958966.707885353,8976.692903324194,72381.52304482248,3.3240317166512843,-1,-0.2182119497368255,0.7675621227095614,0.0,0.4605372736257368,39.0,0.4583333333333333,0.041666666666666664,N2 O2,de-protonated,0.0,,C48 H22 O2 N2,48.0,22.0,2.0,,2.0,,,,
15,34,657.0201862259485,657.021659977451,657.0216956786404,18688848.1608671,56050.68747232841,235291.69990204912,15.691549997293196,-1,-0.05433791553413568,0.4918652096001903,0.7927089175546819,0.612202692781987,16.0,0.75,0.9166666666666666,O22,de-protonated,0.0,,C24 H18 O22,24.0,18.0,22.0,,,,,,
16,40,651.1977857594461,651.1992497330446,651.1989317683268,12136694.607156282,34318.745043794246,237395.4499255411,10.190224062542523,-1,0.48827585892096625,0.26593099707080614,0.0,0.15955859824248367,4.0,1.7391304347826086,0.9130434782608695,O21,de-protonated,0.0,,C23 H40 O21,23.0,40.0,21.0,,,,,,
17,46,641.1591180266802,641.1605650475029,641.1605766429769,7646042.870092636,23242.95584823681,241112.69991146994,6.419778412493623,-1,-0.01808513253803884,0.9981845830946003,0.0,0.5989107498567602,30.0,0.6190476190476191,0.16666666666666666,O7,de-protonated,0.0,,C42 H26 O7,42.0,26.0,7.0,,,,,,
18,51,635.2386570246559,635.24009399139,635.2404026581394,6536016.549908659,15496.584467618824,324479.5998299884,5.487776966949742,-1,-0.48590541162352524,0.26936464155910494,0.0,0.16161878493546297,3.0,1.8333333333333333,0.7916666666666666,O19,de-protonated,0.0,,C24 H44 O19,24.0,44.0,19.0,,,,,,
19,52,635.2027016307973,635.2041385363452,635.204017148755,6934587.4559195,18183.900482159726,243373.6998885104,5.822425482754548,-1,0.19110016137627556,0.8163722472726734,0.0,0.489823348363604,4.0,1.7391304347826086,0.8695652173913043,O20,de-protonated,0.0,,C23 H40 O20,23.0,40.0,20.0,,,,,,
20,54,631.2078006596041,631.2092307574217,631.2091025291834,6016912.460644435,17467.352042428425,244913.94994485893,5.051926255318137,-1,0.20314700432541238,0.7951133583534524,0.0,0.4770680150120714,5.0,1.6666666666666667,0.7916666666666666,O19,de-protonated,0.0,,C24 H40 O19,24.0,40.0,19.0,,,,,,
21,58,629.1498185631184,629.1512451465456,629.1511937285065,4608832.839525688,13417.965088919975,196571.9599343084,3.869672989372113,-1,0.0817260455340623,0.9635736350056956,0.0,0.5781441810034174,16.0,1.0,0.5,O15,de-protonated,0.0,,C30 H30 O15,30.0,30.0,15.0,,,,,,
22,60,621.223314518675,621.2247275192669,621.2247525936614,5496304.272290142,16797.328178074433,248849.94987880244,4.614812670454885,-1,-0.04036283863247342,0.9909899540357054,0.0,0.5945939724214232,3.0,1.826086956521739,0.8260869565217391,O19,de-protonated,0.0,,C23 H42 O19,23.0,42.0,19.0,,,,,,
23,61,621.1868366390303,621.1882495769419,621.188367084277,4893544.486487457,12306.105199663956,248864.94992173888,4.10872287648431,-1,-0.18916538268024657,0.819715905401826,0.0,0.4918295432410956,4.0,1.7272727272727273,0.9090909090909091,O20,de-protonated,0.0,,C22 H38 O20,22.0,38.0,20.0,,,,,,
24,63,620.1452732335854,620.1466843811031,620.1468366238927,9355488.368836787,24806.029418771792,249282.94992094257,7.855064807904474,-1,-0.2454947450780404,0.7154665811129874,0.0,0.42927994866779245,10.0,1.2916666666666667,0.75,N1 O18,de-protonated,0.0,,C24 H31 O18 N1,24.0,31.0,18.0,,1.0,,,,
25,65,617.3564138424128,617.357820189702,617.3576219468974,4143310.4271656335,12963.353793642578,250408.69990321854,3.478810580649465,-1,0.32111501911480134,0.5639101727516462,0.0,0.3383461036509877,0.0,2.0714285714285716,0.42857142857142855,S1 O12,de-protonated,0.0,,C28 H58 O12 S1,28.0,58.0,12.0,1.0,,,,,
26,66,617.2587609331972,617.2601671122378,617.2603502566594,4446387.362346836,13564.041398980584,200358.75993076508,3.733280350026712,-1,-0.29670530682250507,0.6131914992692619,0.0,0.3679148995615571,12.0,1.3125,0.375,O12,de-protonated,0.0,,C32 H42 O12,32.0,42.0,12.0,,,,,,
27,67,615.1530546965885,615.1544572449108,615.1541711086834,6160091.324712581,19000.360939116992,201044.5599415862,5.172142241062264,-1,0.4651455534434419,0.3005917810590354,0.0,0.18035506863542122,15.0,1.0666666666666667,0.4,S1 O12,de-protonated,0.0,,C30 H32 O12 S1,30.0,32.0,12.0,1.0,,,,,
28,68,615.1166338554605,615.1180363409388,615.1177855992992,4265430.277170914,11518.56361889137,251320.44992151653,3.5813449752534234,-1,0.40763191299501633,0.39727279563096657,0.0,0.23836367737857994,16.0,0.9655172413793104,0.4482758620689655,S1 O13,de-protonated,0.0,,C29 H28 O13 S1,29.0,28.0,13.0,1.0,,,,,
29,73,607.2384110725459,607.2397999272745,607.2396148117532,3812580.197470574,13381.400449879295,203664.9599078603,3.20112252356829,-1,0.3048475704826816,0.59673084214004,0.0,0.358038505284024,11.0,1.3333333333333333,0.43333333333333335,O13,de-protonated,0.0,,C30 H40 O13,30.0,40.0,13.0,,,,,,
30,75,603.1766764038844,603.1780582023728,603.1778024002274,4788436.87228381,12709.520718210224,256295.6999385097,4.020472312876746,-1,0.4240907811216091,0.3681800179204118,0.0,0.22090801075224706,5.0,1.6363636363636365,0.8636363636363636,O19,de-protonated,0.0,,C22 H36 O19,22.0,36.0,19.0,,,,,,
31,80,601.1280811074231,601.1294593395847,601.129276514021,7451385.269825927,18139.706311520073,257169.19990152688,6.2563397970879935,-1,0.30413684866201396,0.5981674361660568,0.0,0.3589004616996341,29.0,0.5641025641025641,0.1794871794871795,O7,de-protonated,0.0,,C39 H22 O7,39.0,22.0,7.0,,,,,,
32,82,599.1394484969602,599.1408232624299,599.1406290444569,4061473.7138333223,10640.812989683567,258022.6998881145,3.4100987548689443,-1,0.3241609124375575,0.5577862644359229,0.0,0.33467175866155374,16.0,0.9655172413793104,0.4827586206896552,O14,de-protonated,0.0,,C29 H28 O14,29.0,28.0,14.0,,,,,,
33,84,595.1536068701658,595.1549746732059,595.1550973393555,10953599.628418192,26769.03298602662,259750.44995850362,9.19687263442787,-1,-0.20610787036633885,0.39488934046859,0.6912167449139238,0.5134203022467235,30.0,0.5853658536585366,0.12195121951219512,O5,de-protonated,0.0,,C41 H24 O5,41.0,24.0,5.0,,,,,,
34,85,593.1586910040392,593.1600553153174,593.1599251943543,3930357.8777890233,9780.437418644662,260623.9499064588,3.300011141174588,-1,0.21936910708626017,0.7654059613601363,0.0,0.45924357681608174,17.0,1.0,0.3,N2 S1 O9,de-protonated,0.0,,C30 H30 O9 S1 N2,30.0,30.0,9.0,1.0,2.0,,,,
35,89,591.2432387836541,591.2445997378251,591.2447001921814,4945456.864774602,12482.675677484938,261468.69992002254,4.152309601164156,-1,-0.16990318276696137,0.8518262280564491,0.0,0.5110957368338694,11.0,1.3333333333333333,0.4,O12,de-protonated,0.0,,C30 H40 O12,30.0,40.0,12.0,,,,,,
36,90,591.2127685532023,591.2141294539348,591.2141879096117,4058712.744403961,10074.259178938819,261482.19991276087,3.4077805868647473,-1,-0.09887394134111423,0.9471370995738084,0.0,0.568282259744285,3.0,1.8181818181818181,0.8181818181818182,O18,de-protonated,0.0,,C22 H40 O18,22.0,40.0,18.0,,,,,,
37,91,591.176524941859,591.1778857790262,591.1778024002274,6106529.055231114,15269.69322057948,261498.19990883966,5.1271702330336035,-1,0.14103844634313767,0.8953771607497505,0.0,0.5372262964498503,4.0,1.7142857142857142,0.9047619047619048,O19,de-protonated,0.0,,C21 H36 O19,21.0,36.0,19.0,,,,,,
38,92,590.192495869495,590.1938549802422,590.1937868173267,4106880.1722757015,10284.183178121126,261934.19991021877,3.4482229724084994,-1,0.11549243162225867,0.928576242843203,0.0,0.5571457457059218,4.0,1.7619047619047619,0.8571428571428571,N1 O18,de-protonated,0.0,,C21 H37 O18 N1,21.0,37.0,18.0,,1.0,,,,
