,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
0,0,699.1144108747612,699.115925797081,699.116264770751,8431814.009929374,29747.578545994395,221124.94990182482,7.1417387367709075,-1,-0.48486022573908466,0.27088729339735446,0.0,0.16253237603841267,15.0,1.037037037037037,0.7407407407407407,N2 O20,de-protonated,0.0,,C27 H28 O20 N2,27.0,28.0,20.0,,2.0,,,,
1,2,697.0125963041664,697.0141078099077,697.0141083747677,3941217.5074741165,11957.116169822664,221791.69988453377,3.3382076158251675,-1,-0.0008103996480559596,0.9999963514089363,0.0,0.5999978108453617,22.0,0.6,0.6,S1 O18,de-protonated,0.0,,C30 H18 O18 S1,30.0,18.0,18.0,1.0,,,,,
2,5,695.223824055816,695.225332650047,695.2251465168545,3798611.5720466156,13515.234678329449,177889.7599161891,3.2174205192482397,-1,0.2677308113219218,0.6715135794054019,0.0,0.4029081476432411,4.0,1.76,0.88,O22,de-protonated,0.0,,C25 H44 O22,25.0,44.0,22.0,,,,,,
3,7,693.2082133348708,693.2097186441957,693.2094964523765,4763489.791995965,16236.282321476325,223008.9499530159,4.034671487019118,-1,0.3205262195611263,0.5650949944799972,0.0,0.3390569966879983,5.0,1.68,0.88,O22,de-protonated,0.0,,C25 H42 O22,25.0,42.0,22.0,,,,,,
4,11,690.2880599083587,690.2895604507579,690.2894828147923,5959727.496472258,19209.05814083031,223951.9499056992,5.047883726091716,-1,0.11246870697036855,0.9321389483901615,0.0,0.5592833690340969,21.0,1.0714285714285714,0.14285714285714285,N1 S1 O6,de-protonated,0.0,,C42 H45 O6 S1 N1,42.0,45.0,6.0,1.0,1.0,,,,
5,14,683.1792338736051,683.1807227725276,683.1803858572111,5754567.687768576,18483.24929181864,226282.69992760548,4.874113556194448,-1,0.4931571857347682,0.258946607285747,0.0,0.15536796437144818,17.0,1.0588235294117647,0.38235294117647056,S1 O13,de-protonated,0.0,,C34 H36 O13 S1,34.0,36.0,13.0,1.0,,,,,
6,17,680.1993030829681,680.200787084702,680.2007109106266,13240975.405902743,54448.648538231246,227273.69988761112,11.215094030490668,-1,0.11198764448034211,0.9326982831528229,0.9820054216734214,0.9524211385610623,27.0,0.7804878048780488,0.21951219512195122,13C1 O9,de-protonated,1.0,18.0,C41 H32 O9 13C1,41.0,32.0,9.0,,,1.0,,,
7,18,679.1961549727941,679.1976373237864,679.1973560755544,31498772.123062287,148567.54486940362,182087.9599183412,26.679431112579508,-1,0.4140891148703348,0.6592156196244892,0.9820054216734214,0.7883315404440621,27.0,0.7619047619047619,0.21428571428571427,O9,de-protonated,0.0,,C42 H32 O9,42.0,32.0,9.0,,,,,,
8,19,679.0021526402167,679.0036346718396,679.003543690718,8372365.748945968,25665.214006786166,227674.69989224392,7.0913861142155605,-1,0.13399211603752312,0.9050692511909899,0.0,0.5430415507145939,23.0,0.5333333333333333,0.5666666666666667,S1 O17,de-protonated,0.0,,C30 H16 O17 S1,30.0,16.0,17.0,1.0,,,,,
9,26,671.1695410482412,671.1710101514369,671.1711413270267,6763142.347472636,21176.147502269218,230331.6998756382,5.728375368380028,-1,-0.19544283374068772,0.8087943778218839,0.0,0.4852766266931303,30.0,0.6511627906976745,0.18604651162790697,O8,de-protonated,0.0,,C43 H28 O8,43.0,28.0,8.0,,,,,,
10,30,665.21337159796,665.2148308251931,665.2145818328048,12110114.75583709,37260.10021733971,232393.69994279038,10.25725609657122,-1,0.3743038638432996,0.45916202988260557,0.0,0.27549721792956333,4.0,1.75,0.875,O21,de-protonated,0.0,,C24 H42 O21,24.0,42.0,21.0,,,,,,
11,33,661.3824166476974,661.3838695023602,661.3838366954252,4243366.857389591,12479.751179865518,233740.1999198889,3.5941278382162642,-1,0.04960347256157076,0.9864235335576225,0.0,0.5918541201345735,0.0,2.066666666666667,0.43333333333333335,S1 O13,de-protonated,0.0,,C30 H62 O13 S1,30.0,62.0,13.0,1.0,,,,,
12,35,658.1667901498565,658.1682376431596,658.1680906278054,25043655.34734764,75297.53305050489,187905.5599186671,21.21195312110432,-1,0.2233705283902933,0.37895483399321916,0.8745349179331471,0.5771868675691904,16.0,1.096774193548387,0.41935483870967744,13C1 S1 O13,de-protonated,1.0,37.0,C31 H34 O13 S1 13C1,31.0,34.0,13.0,1.0,,1.0,,,
13,36,658.1586274796265,658.1600749593057,658.1599847649261,6949967.013085855,19799.03839348825,234884.6999166112,5.886615688887924,-1,0.13704020554735882,0.9009248492767657,0.0,0.5405549095660594,16.0,1.064516129032258,0.41935483870967744,N1 S1 O13,de-protonated,0.0,,C31 H33 O13 S1 N1,31.0,33.0,13.0,1.0,1.0,,,,
14,37,657.1634728490982,657.1649186672797,657.1647357927332,109615910.98632793,331190.84947021224,235240.69989965452,92.8445761179743,-1,0.2782780885932516,0.3520697344578473,0.8745349179331471,0.5610558078479673,16.0,1.0625,0.40625,S1 O13,de-protonated,0.0,,C32 H34 O13 S1,32.0,34.0,13.0,1.0,,,,,
15,38,657.0202862636079,657.0217318426381,657.0216956786404,17191159.75571696,52797.66263739673,235291.9499020491,14.56089655355779,-1,0.055042318933839374,0.49165471500529867,0.7927089175546819,0.6120763960250519,16.0,0.75,0.9166666666666666,O22,de-protonated,0.0,,C24 H18 O22,24.0,18.0,22.0,,,,,,
16,52,641.1592908902719,641.1607098397612,641.1605766429769,9290719.039659262,26921.29506768531,241112.69990116172,7.86923050957398,-1,0.20774325365066063,0.393407333059073,0.6860498980681444,0.5104643590627016,30.0,0.6190476190476191,0.16666666666666666,O7,de-protonated,0.0,,C42 H26 O7,42.0,26.0,7.0,,,,,,
17,54,635.2027826497832,635.204191527853,635.204017148755,5965698.178869146,16267.257259128672,243373.6998885104,5.0529408886084175,-1,0.2745245516034248,0.6579098351199262,0.0,0.3947459010719557,4.0,1.7391304347826086,0.8695652173913043,O20,de-protonated,0.0,,C23 H40 O20,23.0,40.0,20.0,,,,,,
18,62,629.1498921878703,629.1512907919279,629.1511937285065,4440223.080445339,12436.410729164792,245714.69994698474,3.7608648786818217,-1,0.15427678162150757,0.8761398231947422,0.0,0.5256838939168452,16.0,1.0,0.5,O15,de-protonated,0.0,,C30 H30 O15,30.0,30.0,15.0,,,,,,
19,64,621.1869326964851,621.1883177235894,621.188367084277,4054071.3836764838,11608.962988500549,199091.75993481826,3.4337947455128095,-1,-0.07946170637075005,0.9655294433772873,0.0,0.5793176660263724,4.0,1.7272727272727273,0.9090909090909091,O20,de-protonated,0.0,,C22 H38 O20,22.0,38.0,20.0,,,,,,
20,65,620.1455772953376,620.1469605418054,620.1468366238927,5426789.603356628,17114.414667413585,249282.4499362862,4.596485819179293,-1,0.1998202769989154,0.8010571251051829,0.0,0.48063427506310974,10.0,1.2916666666666667,0.75,N1 O18,de-protonated,0.0,,C24 H31 O18 N1,24.0,31.0,18.0,,1.0,,,,
21,66,619.2749262048809,619.2763079616956,619.2760003211374,4159299.3167088632,12794.487863000371,249633.199872556,3.5229227083263503,-1,0.4967745528695035,0.2538459897478448,0.0,0.15230759384870687,11.0,1.375,0.375,O12,de-protonated,0.0,,C32 H44 O12,32.0,44.0,12.0,,,,,,
22,70,617.2954340261113,617.2968123930098,617.2967357660438,3948536.760574265,12289.171822897733,250433.69990470653,3.3444070164912643,-1,0.12413311389229463,0.9179560897467474,0.0,0.5507736538480484,11.0,1.393939393939394,0.3333333333333333,O11,de-protonated,0.0,,C33 H46 O11,33.0,46.0,11.0,,,,,,
