,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O
0,0,695.2620390310357,695.2627070344404,695.2625397904502,9169752.670640519,32802.14112620839,177879.9599241448,8.55911702967932,-1,0.24054796656693783,0.36254376066756283,0.6566013193347574,0.48016678413444064,29.0,0.8333333333333334,0.0625,S1 O3,de-protonated,0.0,,C48 H40 O3 S1,48.0,40.0,3.0,1.0,,,,
1,1,695.1604900033152,695.1611582056825,695.1612453482195,3588983.0763282315,14188.030492511569,222382.69987180014,3.349984156735834,-1,-0.12535586185750594,0.9164016648481255,0.0,0.5498409989088753,37.0,0.5106382978723404,0.10638297872340426,N2 O5,de-protonated,0.0,,C47 H24 O5 N2,47.0,24.0,5.0,,2.0,,,
2,2,691.2965275729773,691.2972032771531,691.2971296892368,3612464.225214711,12851.86170405869,178900.3599006338,3.3719016400671116,-1,0.10644904069453885,0.9389883444453652,0.0,0.563393006667219,12.0,1.3714285714285714,0.4,O14,de-protonated,0.0,,C35 H48 O14,35.0,48.0,14.0,,,,,
3,4,689.2809577847189,689.281637348908,689.2814796247588,3861924.6711975345,13658.475171857146,179423.55992437276,3.6047499216002974,-1,0.22882400563233438,0.7475969724691197,0.0,0.4485581834814718,13.0,1.3142857142857143,0.4,O14,de-protonated,0.0,,C35 H46 O14,35.0,46.0,14.0,,,,,
4,5,686.2871447516682,686.287829982006,686.2876872041946,5477838.587305359,18544.308305854873,225257.94990766508,5.113056286518663,-1,0.20804367322328252,0.7862688475378312,0.0,0.4717613085226987,5.0,1.75,0.6428571428571429,N1 O18,de-protonated,0.0,,C28 H49 O18 N1,28.0,49.0,18.0,,1.0,,,
5,6,685.2556314277804,685.2563185917486,685.2560527226174,6659278.320399575,21615.047859571554,225596.69988740407,6.215821137684507,-1,0.3879850899090155,0.43331459054187826,0.0,0.25998875432512697,6.0,1.6428571428571428,0.6785714285714286,O19,de-protonated,0.0,,C28 H46 O19,28.0,46.0,19.0,,,,,
6,10,683.2874598403581,683.2881506672834,683.2880215568159,3905102.609788722,12202.172586019537,226246.44986513778,3.6450525385602446,-1,0.18895467708485533,0.8200788102425418,0.0,0.49204728614552506,6.0,1.7142857142857142,0.6071428571428571,N2 O17,de-protonated,0.0,,C28 H48 O17 N2,28.0,48.0,17.0,,2.0,,,
7,11,683.179593225726,683.1802842523966,683.1803858572111,8202227.855735182,29064.74727372177,226282.19988812288,7.656021993494974,-1,-0.14872326053389126,0.8843687575297376,0.0,0.5306212545178426,17.0,1.0588235294117647,0.38235294117647056,S1 O13,de-protonated,0.0,,C34 H36 O13 S1,34.0,36.0,13.0,1.0,,,,
8,13,679.193167319745,679.1938656551632,679.1938463878985,7226173.263053715,27711.51090804708,182088.35995040834,6.744965197725029,-1,0.02836784350989215,0.9955392314404279,0.0,0.5973235388642567,5.0,1.6666666666666667,0.9166666666666666,O22,de-protonated,0.0,,C24 H40 O22,24.0,40.0,22.0,,,,,
9,14,677.2804106477417,677.2811124393917,677.2809665604221,3758386.8052284857,11207.40810990606,228253.44992058285,3.5081068883950803,-1,0.2153891468031199,0.7727992045939195,0.0,0.46367952275635166,30.0,0.8085106382978723,0.06382978723404255,N2 O3,de-protonated,0.0,,C47 H38 O3 N2,47.0,38.0,3.0,,2.0,,,
10,15,677.2442729541477,677.2449748107803,677.2450941153746,3442360.620935386,11889.110153016756,228265.69990682323,3.213125639394969,-1,-0.17616162213703254,0.8416381606260034,0.0,0.504982896375602,13.0,1.2727272727272727,0.45454545454545453,O15,de-protonated,0.0,,C33 H42 O15,33.0,42.0,15.0,,,,,
11,16,675.2652883626025,675.2659937599351,675.2658295602808,3665457.4807509626,11908.820347368262,183147.55991961696,3.421365948670628,-1,0.24316298420907811,0.7200099807311849,0.0,0.43200598843871096,13.0,1.2941176470588236,0.4117647058823529,O14,de-protonated,0.0,,C34 H44 O14,34.0,44.0,14.0,,,,,
12,17,673.2853202374204,673.2860291420391,673.2860519408505,4238330.850702845,15125.907529770448,183686.15990669566,3.956090318315206,-1,-0.03386199869882672,0.9936500524731812,0.0,0.5961900314839087,31.0,0.7916666666666666,0.041666666666666664,N2 O2,de-protonated,0.0,,C48 H38 O2 N2,48.0,38.0,2.0,,2.0,,,
13,18,673.1768037675963,673.1775128634225,673.1774084770343,4300324.878098736,14974.469530362598,183715.75994003937,4.013956015971532,-1,0.15506519812084935,0.874953504727788,0.0,0.5249721028366727,16.0,1.0625,0.5,O16,de-protonated,0.0,,C32 H34 O16,32.0,34.0,16.0,,,,,
14,20,671.2700992749714,671.2708117131948,671.2709149407092,3507695.428359103,13117.03460438427,184237.55989455245,3.27410964659089,-1,-0.15377921505237524,0.8768862147205704,0.0,0.5261317288323422,14.0,1.2571428571428571,0.37142857142857144,O13,de-protonated,0.0,,C35 H44 O13,35.0,44.0,13.0,,,,,
15,21,671.2394513629112,671.2401638545931,671.2404026581394,4610702.562579669,14236.222150779347,230307.69993747986,4.303664912197152,-1,-0.3557645596444903,0.49501961079075896,0.0,0.2970117664744554,6.0,1.6296296296296295,0.7037037037037037,O19,de-protonated,0.0,,C27 H44 O19,27.0,44.0,19.0,,,,,
