Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,SAMPLE A,SAMPLE B,SAMPLE C,SAMPLE D
100.3333433,0,0,0,0,0,0,0,0,,None,101.3406198,0,0,0,0,0,0
103.00371,0,0,0,0,0,0,0,0,,None,104.0109865,0,0,4016940,0,2600138,0
111.008795,5,4,3,0,0,0,0,0,CHO,Lignin,112.0160715,-0.245252129,1,8356169,0,4593700,0
113.02441,5,6,3,0,0,0,0,0,CHO,Lignin,114.0316865,0.066578161,1,0,0,0,0
125.02441,6,6,3,0,0,0,0,0,CHO,Lignin,126.0316865,0.060238978,1,0,0,0,0
129.019345,5,6,4,0,0,0,0,0,CHO,Tannin,130.0266215,-0.098332786,1,3652353,0,3725057,0
130.99862,0,0,0,0,0,0,0,0,,None,132.0058965,0,0,3372727,0,0,0
133.05065,5,10,4,0,0,0,0,0,CHO,Carb,134.0579265,-0.1317153,1,0,0,2526711,0
137.00603,0,0,0,0,0,0,0,0,,None,138.0133065,0,0,0,0,0,0
142.50211,0,0,0,0,0,0,0,0,,None,143.5093865,0,0,0,0,0,0
143.107765,8,16,2,0,0,0,0,0,CHO,Lipid,144.1150415,-0.081248147,1,4799377,6999521,9885843,30727686
144.11112,7,16,2,0,1,0,0,0,CHO,Lipid,145.1183965,-0.081804101,0,0,0,0,5050901
145.05064,6,10,4,0,0,0,0,0,CHO,AminoSugar,146.0579165,-0.052427696,1,0,0,3411637,0
147.029905,5,8,5,0,0,0,0,0,CHO,Carb,148.0371815,-0.054713146,1,8127214,0,6938351,0
147.04515,9,8,2,0,0,0,0,0,CHO,Lignin,148.0524265,0.020493551,1,0,0,0,0
147.066295,6,12,4,0,0,0,0,0,CHO,AminoSugar,148.0735715,-0.085047452,1,6303471,0,7668464,0
149.00773,0,0,0,0,0,0,0,0,,None,150.0150065,0,0,3014976,0,0,0
149.0085038,0,0,0,0,0,0,0,0,,None,150.0157802,0,0,15202111,0,10841920,0
149.0091635,0,0,0,0,0,0,0,0,,None,150.0164399,0,0,196958016,11371656,137672512,0
149.024416,8,6,3,0,0,0,0,0,CHO,ConHC,150.0316925,0.010611225,1,0,0,2712641,0
149.045555,5,10,5,0,0,0,0,0,CHO,Carb,150.0528315,-0.053550339,1,4479809,4077194,6747970,4939946
149.06081,9,10,2,0,0,0,0,0,CHO,Lignin,150.0680865,-0.045990325,1,0,0,2762307,0
149.50995,0,0,0,0,0,0,0,0,,None,150.5172265,0,0,0,0,0,0
149.99564,0,0,0,0,0,0,0,0,,None,151.0029165,0,0,0,0,0,0
149.99649,0,0,0,0,0,0,0,0,,None,151.0037665,0,0,0,0,0,0
150.0125193,0,0,0,0,0,0,0,0,,None,151.0197957,0,0,10372979,0,6496115,0
150.03225,0,0,0,0,0,0,0,0,,None,151.0395265,0,0,0,0,0,0
150.499548,0,0,0,0,0,0,0,0,,None,151.5068245,0,0,0,0,0,0
150.500285,0,0,0,0,0,0,0,0,,None,151.5075615,0,0,0,0,0,0
