,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
0,6,1181.0434703539731,1181.046906282574,,2230704.393122047,104715.15992211862,4.444445571544416,-1,,,,,,,,unassigned,,,,,,,,,,,,,
1,9,1173.343083725046,1173.3464992215913,,2059402.949706573,87835.46660053554,4.103145332958561,-1,,,,,,,,unassigned,,,,,,,,,,,,,
2,13,1152.6192763760255,1152.6226367734607,1152.6229996314332,2085517.1900710969,67060.84995091736,4.155175230017182,-1,0.3148106298595463,0.576611007422918,0.0,0.3459666044537508,0.0,2.0625,0.6041666666666666,N1 O29,de-protonated,0.0,,C48 H99 O29 N1,48.0,99.0,29.0,,1.0,,,,
3,22,1142.298386418274,1142.3017193148405,,2076081.8734340265,67666.47494762637,4.136376346860344,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4,23,1141.0059822750854,1141.0093117251065,1141.0090778585636,2184665.0558278905,108389.55992407637,4.352716999446401,-1,-0.2049646645441871,0.7918433138064357,0.0,0.4751059882838614,29.0,0.65,0.95,N2 O38,de-protonated,0.0,,C40 H26 O38 N2,40.0,26.0,38.0,,2.0,,,,
5,25,1136.1590365056709,1136.162353024393,1136.1619543808918,2030266.1672454386,34016.29996865187,4.0450933363884545,-1,-0.35086855333230105,0.5046261332996591,0.0,0.30277567997979543,30.0,0.86,0.56,N1 S1 O28,de-protonated,0.0,,C50 H43 O28 S1 N1,50.0,43.0,28.0,1.0,1.0,,,,
6,27,1133.052824750411,1133.0561329773325,1133.0556341288045,2032194.125363751,90958.46659638471,4.048934591620424,-1,-0.44026834423870165,0.3406608536198178,0.0,0.20439651217189067,30.0,0.6976744186046512,0.813953488372093,N2 O35,de-protonated,0.0,,C43 H30 O35 N2,43.0,30.0,35.0,,2.0,,,,
7,33,1118.9248649110486,1118.9281353785673,1118.928325612729,2101187.983221968,110528.55991953806,4.186397649014842,-1,0.17001460889822456,0.8516470050492664,0.0,0.5109882030295598,37.0,0.37209302325581395,0.7674418604651163,N2 S1 O33,de-protonated,0.0,,C43 H16 O33 S1 N2,43.0,16.0,33.0,1.0,2.0,,,,
8,34,1117.2877581026041,1117.2910241898117,1117.2907790191675,2098929.5574482204,138362.94989784024,4.181897971487087,-1,-0.21943315806820643,0.7652864580093621,0.0,0.4591718748056173,6.0,1.7714285714285714,1.0857142857142856,N2 O38,de-protonated,0.0,,C35 H62 O38 N2,35.0,62.0,38.0,,2.0,,,,
9,36,1116.5242971484352,1116.5275611925492,,2029515.712059219,92305.29993221801,4.04359813279298,-1,,,,,,,,unassigned,,,,,,,,,,,,,
10,39,1109.1194940198106,1109.1227382365817,1109.1230449850952,2020166.4221577316,111505.75991470019,4.0249706489238175,-1,0.27656851508164204,0.6538055853286552,0.0,0.3922833511971931,17.0,1.135135135135135,1.054054054054054,O39,de-protonated,0.0,,C37 H42 O39,37.0,42.0,39.0,,,,,,
11,40,1108.9658067247149,1108.9690505297488,1108.969127797299,2076770.095023449,92934.46659865152,4.137747556512677,-1,0.06967511390445498,0.9733903265465109,0.0,0.5840341959279065,34.0,0.5,0.75,S1 O33,de-protonated,0.0,,C44 H22 O33 S1,44.0,22.0,33.0,1.0,,,,,
12,41,1100.1980387172234,1100.2012590181757,1100.2008418137204,2071735.5002742826,112409.95991629231,4.127716652190954,-1,-0.3792075405078172,0.44983259749808274,0.0,0.2698995584988496,22.0,1.0681818181818181,0.7272727272727273,N1 O32,de-protonated,0.0,,C44 H47 O32 N1,44.0,47.0,32.0,,1.0,,,,
13,42,1095.963467761259,1095.9666767000674,1095.9664847697434,2025454.0648158006,70527.5999491754,4.035505724780585,-1,-0.17512426401977246,0.8433437795745119,0.0,0.5060062677447071,34.0,0.4523809523809524,0.8333333333333334,N1 O35,de-protonated,0.0,,C42 H19 O35 N1,42.0,19.0,35.0,,1.0,,,,
14,45,1085.924208289474,1085.9273902640825,1085.9279912601078,2263385.056679885,113887.5599174942,4.5095583811451,-1,0.55344003477057,0.18238348762422027,0.0,0.10943009257453216,33.0,0.425,0.85,N1 S1 O34,de-protonated,0.0,,C40 H17 O34 S1 N1,40.0,17.0,34.0,1.0,1.0,,,,
15,50,1077.4196093806017,1077.4227684832083,,2054316.2012246696,114786.5599256185,4.093010517770289,-1,,,,,,,,unassigned,,,,,,,,,,,,,
16,52,1076.1456883202516,1076.1488439944683,1076.149200163051,2292718.1859414405,63846.199953378986,4.568001578212372,-1,0.33096580172876494,0.5441412282434593,0.0,0.3264847369460756,17.0,1.162162162162162,0.972972972972973,N1 O36,de-protonated,0.0,,C37 H43 O36 N1,37.0,43.0,36.0,,1.0,,,,
17,55,1073.1739727651081,1073.1771204394352,,2022315.734202587,115240.55991355145,4.029252928740489,-1,,,,,,,,unassigned,,,,,,,,,,,,,
18,56,1069.30516774782,1069.308305002298,,2206739.4160316396,192762.59987303827,4.39669785713186,-1,,,,,,,,unassigned,,,,,,,,,,,,,
19,57,1067.2327979002318,1067.2359295708789,,2064737.0402564274,72426.47494536522,4.1137729513895875,-1,,,,,,,,unassigned,,,,,,,,,,,,,
20,61,1052.133751171486,1052.1368421101442,,2541765.1535972035,97954.13326679176,5.064201655603648,-1,,,,,,,,unassigned,,,,,,,,,,,,,
21,70,1025.616362913183,1025.619382109243,,2222012.685697078,46378.446119633256,4.427128252094483,-1,,,,,,,,unassigned,,,,,,,,,,,,,
22,71,1011.331855135693,1011.3348355753295,1011.3350908913935,2567072.025978145,122287.35991321992,5.114622956260926,-1,0.25245446963978374,0.7018232674294925,0.0,0.4210939604576955,17.0,1.3043478260869565,0.5434782608695652,O25,de-protonated,0.0,,C46 H60 O25,46.0,60.0,25.0,,,,,,
23,75,932.8939847202145,932.8967509738228,932.89663156058,2109674.7665034346,82855.97495344811,4.203306678507173,-1,-0.12800265194269247,0.9129939783046621,0.0,0.5477963869827972,29.0,0.3125,0.9375,N2 S1 O30,de-protonated,0.0,,C32 H10 O30 S1 N2,32.0,10.0,30.0,1.0,2.0,,,,
24,79,819.215219794657,819.2176715177492,819.2175592129817,2593245.839563606,188706.9499083613,5.166771546741585,-1,-0.13708784225075626,0.9008594917694918,0.0,0.5405156950616951,17.0,1.1578947368421053,0.47368421052631576,S1 O18,de-protonated,0.0,,C38 H44 O18 S1,38.0,44.0,18.0,1.0,,,,,
25,80,797.1697389457349,797.1721291089474,797.172323096606,2194208.919093553,193925.69992046233,4.371732150426192,-1,0.24334469844994877,0.7196564411583012,0.0,0.4317938646949807,25.0,0.8292682926829268,0.4146341463414634,O17,de-protonated,0.0,,C41 H34 O17,41.0,34.0,17.0,,,,,,
26,85,771.1908275239066,771.1931449084893,771.1930585415123,4264009.853275937,200457.9499038342,8.495594381687816,-1,-0.11199138279722308,0.9326939445376751,0.0,0.5596163667226051,23.0,0.9,0.4,O16,de-protonated,0.0,,C40 H36 O16,40.0,36.0,16.0,,,,,,
27,88,763.7526471113591,763.7549436114253,763.7548851699478,14886270.57078743,202410.19990585538,29.65933967725338,-1,-0.07651863012314568,0.9464227764321237,0.9904491292540523,0.9640333175608952,1.0,2.0,0.08,O4,de-protonated,0.0,,C50 H100 O4,50.0,100.0,4.0,,,,,,
28,89,761.1488486009567,761.1511377852943,761.1511937285067,2201500.1947360723,162482.35991074814,4.386259255783685,-1,0.07349816020078556,0.9704348611168014,0.0,0.5822609166700808,27.0,0.7317073170731707,0.36585365853658536,O15,de-protonated,0.0,,C41 H30 O15,41.0,30.0,15.0,,,,,,
29,91,749.7370981928118,749.739355284143,749.7392351054698,6659204.470911136,206194.4499020108,13.26776954938757,-1,-0.16029396302196264,0.9143298667240215,0.9938364653479766,0.9461325061736036,1.0,2.0,0.08163265306122448,O4,de-protonated,0.0,,C49 H98 O4,49.0,98.0,4.0,,,,,,
30,93,745.2115641929757,745.2138085436638,745.2137939864186,4947401.451243451,165957.15992418624,9.857180780397707,-1,-0.01953432065516095,0.4989411514027815,0.7017874875868856,0.5800796858764231,21.0,0.9743589743589743,0.38461538461538464,O15,de-protonated,0.0,,C39 H38 O15,39.0,38.0,15.0,,,,,,
31,95,743.195906892392,743.1981455659578,743.1981439219406,12466970.813097626,208008.94991823428,24.839137535070826,-1,-0.0022120846079678146,0.9393976237992763,0.9965645628485098,0.9622643994189697,22.0,0.9230769230769231,0.38461538461538464,O15,de-protonated,0.0,,C39 H36 O15,39.0,36.0,15.0,,,,,,
32,98,735.7214083874467,735.7236259956375,735.7235850409918,9612657.368122341,210122.19993893543,19.15221604541291,-1,-0.055665805068845865,0.983590941414678,0.9792526882992667,0.9818556401685135,1.0,2.0,0.08333333333333333,O4,de-protonated,0.0,,C48 H96 O4,48.0,96.0,4.0,,,,,,
33,99,735.2178932891304,735.2201094775081,735.2200611364261,9485656.918318424,210266.4498734883,18.899180910656582,-1,-0.06575049369267086,0.8533736786299748,0.9405191659840443,0.8882318735716026,6.0,1.6296296296296295,0.8518518518518519,O23,de-protonated,0.0,,C27 H44 O23,27.0,44.0,23.0,,,,,,
34,100,721.705805173656,721.7079832249412,721.7079349765138,3579822.4380702153,171362.35993530738,7.132422400230603,-1,-0.06685312036741892,0.9754760555763258,0.0,0.5852856333457954,1.0,2.0,0.0851063829787234,O4,de-protonated,0.0,,C47 H94 O4,47.0,94.0,4.0,,,,,,
35,101,711.1183768669895,711.1205249878014,711.1202875227436,2180477.976059502,173913.35991656125,4.344374680225757,-1,-0.3339309283874777,0.5382138809261684,0.0,0.322928328555701,20.0,0.8484848484848485,0.5454545454545454,O18,de-protonated,0.0,,C33 H28 O18,33.0,28.0,18.0,,,,,,
36,102,707.6902343961544,707.6923728166171,707.6922849120358,3483637.6965155792,218444.9499100804,6.940784346362631,-1,-0.1242129992825618,0.9178549201084216,0.0,0.550712952065053,1.0,2.0,0.08695652173913043,O4,de-protonated,0.0,,C46 H92 O4,46.0,92.0,4.0,,,,,,
37,103,703.1860563246352,703.1881819932432,703.187973161084,2711602.970464037,219844.19987320638,5.40258577112427,-1,-0.29697913963875333,0.612637934198398,0.0,0.36758276051903876,16.0,1.0909090909090908,0.5151515151515151,O17,de-protonated,0.0,,C33 H36 O17,33.0,36.0,17.0,,,,,,
38,104,701.1891724180273,701.191292430778,701.1909505412608,5725147.052510656,220470.69991361332,11.406757678169592,-1,-0.4875840410954298,0.13346514219383132,0.72968508002065,0.3719531173245588,16.0,1.1176470588235294,0.4117647058823529,S1 O14,de-protonated,0.0,,C34 H38 O14 S1,34.0,38.0,14.0,1.0,,,,,
39,105,701.1128524147284,701.1149722112851,701.1148082191222,2150775.250436376,176395.55992570263,4.285195101001573,-1,-0.23390201005936942,0.7379012436716197,0.0,0.4427407462029718,23.0,0.7428571428571429,0.45714285714285713,O16,de-protonated,0.0,,C35 H26 O16,35.0,26.0,16.0,,,,,,
40,106,699.0971514280574,699.0992655138789,699.0991581546442,2013574.6575034591,176904.1599329137,4.0118372461669685,-1,-0.1535679644630511,0.8772025708312916,0.0,0.5263215424987749,24.0,0.6857142857142857,0.45714285714285713,O16,de-protonated,0.0,,C35 H24 O16,35.0,24.0,16.0,,,,,,
41,107,695.2607134198311,695.2628166323103,695.2625397904502,2471593.0443500467,222350.1998744006,4.924391055350622,-1,-0.3981831959435105,0.4144377312602442,0.0,0.2486626387561465,29.0,0.8333333333333334,0.0625,S1 O3,de-protonated,0.0,,C48 H40 O3 S1,48.0,40.0,3.0,1.0,,,,,
42,108,687.09712755678,687.099207613337,687.0991581546442,2030244.5662122504,224992.4499038541,4.045050298585422,-1,-0.07198188520810982,0.9716248459413227,0.0,0.5829749075647936,23.0,0.7058823529411765,0.47058823529411764,O16,de-protonated,0.0,,C34 H24 O16,34.0,24.0,16.0,,,,,,
43,109,681.1079308948803,681.1099939471784,681.109722838694,2032056.3203229166,226970.44991932518,4.048660029466262,-1,-0.3980393691670418,0.4147014853301197,0.0,0.2488208911980718,20.0,0.8125,0.53125,O17,de-protonated,0.0,,C32 H26 O17,32.0,26.0,17.0,,,,,,
44,112,679.6589081500199,679.6609670862872,679.6609847830798,3948730.0659853485,227454.6998997579,7.867432327252638,-1,0.026037676146035377,0.9962406365055667,0.0,0.59774438190334,1.0,2.0,0.09090909090909091,O4,de-protonated,0.0,,C44 H88 O4,44.0,88.0,4.0,,,,,,
45,113,679.1952732231018,679.1973308422209,679.1973560755544,7353625.810316539,227609.94991440122,14.651331556178949,-1,0.037151695588478126,0.9648536526900555,0.9973457195922611,0.9778504794509377,27.0,0.7619047619047619,0.21428571428571427,O9,de-protonated,0.0,,C42 H32 O9,42.0,32.0,9.0,,,,,,
46,114,679.1918675506463,679.1939251600899,679.1938463878985,3621655.725647791,91043.87995937606,7.215770857467056,-1,-0.11597895329229092,0.9279954667748593,0.0,0.5567972800649156,5.0,1.6666666666666667,0.9166666666666666,O22,de-protonated,0.0,,C24 H40 O22,24.0,40.0,22.0,,,,,,
47,115,673.1025886351139,673.1046289378988,673.1046374582656,2077079.9716486065,229670.19990543203,4.138364953330764,-1,0.012658309467546078,0.9991102138803345,0.0,0.5994661283282007,18.0,0.8666666666666667,0.6,O18,de-protonated,0.0,,C30 H26 O18,30.0,26.0,18.0,,,,,,
48,116,673.0813698273528,673.0834100698062,673.0835080901662,2104591.7430452243,229677.44991965045,4.1931792850396405,-1,0.14562882445323172,0.8888552693099634,0.0,0.533313161585978,23.0,0.6666666666666666,0.48484848484848486,O16,de-protonated,0.0,,C33 H22 O16,33.0,22.0,16.0,,,,,,
49,117,669.0862792971897,669.0883081773657,669.0885934705946,2113328.688166491,184838.95993193777,4.210586735875694,-1,0.42639081234217274,0.36420051646456664,0.0,0.21852030987873997,24.0,0.6470588235294118,0.4411764705882353,O15,de-protonated,0.0,,C34 H22 O15,34.0,22.0,15.0,,,,,,
50,118,667.0922377088588,667.0942609156111,667.094072774216,2165694.39016387,231739.44989282032,4.314919929041343,-1,-0.2820312798761989,0.6428151891605368,0.0,0.38568911349632207,20.0,0.7741935483870968,0.5483870967741935,O17,de-protonated,0.0,,C31 H24 O17,31.0,24.0,17.0,,,,,,
51,119,665.2124615648088,665.2144794218723,665.2145818328048,4762214.502319144,232393.9498826593,9.488215122019938,-1,0.15395172523879494,0.876627636105484,0.0,0.5259765816632904,4.0,1.75,0.875,O21,de-protonated,0.0,,C24 H42 O21,24.0,42.0,21.0,,,,,,
52,120,663.0970569637992,663.0990687990027,663.0991581546442,2042111.8881993962,233135.6998877408,4.068694698450544,-1,0.13475456941246022,0.9040395326269512,0.0,0.5424237195761707,21.0,0.75,0.5,O16,de-protonated,0.0,,C32 H24 O16,32.0,24.0,16.0,,,,,,
53,121,663.0607459634799,663.0627576953033,663.06277264526,2109701.798193365,233148.44994425555,4.20336053632669,-1,0.022546819604762233,0.9971797672698969,0.0,0.5983078603619381,22.0,0.6451612903225806,0.5483870967741935,O17,de-protonated,0.0,,C31 H20 O17,31.0,20.0,17.0,,,,,,
54,122,661.0814224639354,661.0834285597227,661.0835080901662,2618644.7077139895,233846.1998648713,5.217376139363211,-1,0.1203031727651527,0.9227427989670854,0.0,0.5536456793802512,22.0,0.6875,0.5,O16,de-protonated,0.0,,C32 H22 O16,32.0,22.0,16.0,,,,,,
55,123,659.1022636612536,659.1042641199982,659.1042435350726,2104431.557210591,234548.44984135544,4.192860131490853,-1,-0.03123166914246137,0.9945956720011381,0.0,0.5967574032006828,22.0,0.7272727272727273,0.45454545454545453,O15,de-protonated,0.0,,C33 H24 O15,33.0,24.0,15.0,,,,,,
56,124,659.0661035350133,659.0681038907528,659.0678580256882,2281876.7771353005,187649.15991035418,4.546401203233814,-1,-0.37304969676631045,0.4615592405307857,0.0,0.2769355443184714,23.0,0.625,0.5,O16,de-protonated,0.0,,C32 H20 O16,32.0,20.0,16.0,,,,,,
57,126,657.1628454354887,657.164840368948,657.1647357927332,14381207.460037978,235240.9498943029,28.653054168137054,-1,-0.1591324202057664,0.8979101050562082,0.9120887635493674,0.9035815684534718,16.0,1.0625,0.40625,S1 O13,de-protonated,0.0,,C32 H34 O13 S1,32.0,34.0,13.0,1.0,,,,,
58,127,657.1229829487148,657.1249777685935,657.1249789799789,2029659.8502814737,235255.19992652457,4.043885313149806,-1,0.0018434627763849487,0.9999811204281773,0.0,0.5999886722569063,22.0,0.7647058823529411,0.4117647058823529,O14,de-protonated,0.0,,C34 H26 O14,34.0,26.0,14.0,,,,,,
59,128,657.0866855638682,657.0886802803237,657.0885934705946,2602768.607176179,235268.19987685242,5.1857446668354195,-1,-0.13211267100243798,0.9075874795142482,0.0,0.5445524877085489,23.0,0.6666666666666666,0.45454545454545453,O15,de-protonated,0.0,,C33 H22 O15,33.0,22.0,15.0,,,,,,
60,129,655.0710733736846,655.0730623462234,655.0729434061166,2142604.9256800977,314655.93316886225,4.268916582075854,-1,-0.18156772929775425,0.8326439885184737,0.0,0.49958639311108416,24.0,0.6060606060606061,0.45454545454545453,O15,de-protonated,0.0,,C33 H20 O15,33.0,20.0,15.0,,,,,,
61,130,653.112699324077,653.1146827143452,653.1148082191222,2113687.8899881,236699.44991526697,4.211302407997138,-1,0.19216342271707765,0.8145261193471496,0.0,0.4887156716082897,19.0,0.8387096774193549,0.5161290322580645,O16,de-protonated,0.0,,C31 H26 O16,31.0,26.0,16.0,,,,,,
62,131,653.055232584428,653.0572158108678,653.0572933416386,2879471.837785106,236720.19990159257,5.737046960274079,-1,0.11871970742214892,0.9246850835859913,0.0,0.5548110501515948,25.0,0.5454545454545454,0.45454545454545453,O15,de-protonated,0.0,,C33 H18 O15,33.0,18.0,15.0,,,,,,
63,132,651.6276901850656,651.6296693414087,651.6296846541238,4255392.643206947,237239.1999044264,8.478425490440603,-1,0.023499106201010186,0.9969368787788518,0.0,0.5981621272673111,1.0,2.0,0.09523809523809523,O4,de-protonated,0.0,,C42 H84 O4,42.0,84.0,4.0,,,,,,
64,133,651.0971058468666,651.0990834902536,651.0991581546442,2555175.9446945507,237432.199858852,5.090921256500696,-1,0.11467437739124427,0.9295480878814388,0.0,0.5577288527288633,20.0,0.7741935483870968,0.5161290322580645,O16,de-protonated,0.0,,C31 H24 O16,31.0,24.0,16.0,,,,,,
65,134,651.060807684697,651.0627852245763,651.06277264526,2337991.1798723484,237445.69989589058,4.658203291181237,-1,-0.01932120340917067,0.9979282107842643,0.0,0.5987569264705586,21.0,0.6666666666666666,0.5666666666666667,O17,de-protonated,0.0,,C30 H20 O17,30.0,20.0,17.0,,,,,,
66,135,649.117739712112,649.11971171042,649.1198935995506,2172817.4379050406,238156.19990948788,4.329111857871876,-1,0.28020883713193023,0.6464848510009152,0.0,0.38789091060054914,20.0,0.8125,0.46875,O15,de-protonated,0.0,,C32 H26 O15,32.0,26.0,15.0,,,,,,
67,136,649.0813394710382,649.0833113655202,649.0835080901662,2682775.581382114,317559.5998113097,5.3451502085551645,-1,0.30308064147470853,0.6003025330501014,0.0,0.3601815198300608,21.0,0.7096774193548387,0.5161290322580645,O16,de-protonated,0.0,,C31 H22 O16,31.0,22.0,16.0,,,,,,
