formula,intensity,m/z
C6H6O2,894212,109.02949
C5H6O3,999389,113.02443
C4H6O4,1126322,117.01935
C6H6O3,14874407,125.02441
C6H12O3,1395888,131.07136
C7H6O3,1179751,137.02442
C6H10O4,1320947,145.05063
C7H6O4,3688236,153.01932
C6H4O5,1080443,154.99862
C6H6O5,864091,157.01425
C6H10O5,2646476,161.04554
C5H8O6,985244,163.02481
C9H8O3,1149790,163.04006
C5H10O6,1070657,165.04045
C9H10O3,2224643,165.05573
C8H8O4,1699254,167.03499
C7H6O5,64556408,169.01425
C7H8O5,826769,171.02986
C9H16O3,1914969,171.10265
C6H6O6,1840436,173.00916
C8H14O4,1958461,173.08194
C7H14N2O3,1328446,173.09317
C6H8O6,1351212,175.02483
C9H6O4,2572335,177.01933
C6H10O6,1665842,177.04048
C9H8O4,1077317,179.03499
C6H12O6,4209736,179.05612
C9H10O4,3046760,181.05062
C8H8O5,2231444,183.02989
C10H16O3,842016,183.10267
C10H18O3,4751839,185.11832
C6H8N2O5,1944091,187.03602
C9H16O4,11079461,187.09758
C10H20O3,1137963,187.13397
C7H10O6,1051377,189.04046
C8H5N3O3,863390,190.02573
C6H8O7,18108880,191.01972
C7H12O6,2070998,191.05611
C11H12O3,2926553,191.07137
C6H10O7,11625279,193.03538
C10H10O4,918722,193.05067
C11H14O3,36223816,193.08702
C6H12O7,2602683,195.05104
C8H6O6,1688886,197.00917
C9H10O5,986429,197.04551
C11H18O3,1064011,197.11831
C10H16O4,967380,199.09758
C11H20O3,1922012,199.13397
C12H24O2,1142627,199.17037
C10H18O4,2691951,201.11324
C10H20O4,4145427,203.12887
C7H10O7,2276008,205.03535
C6H10N2O6,1060011,205.04654
C10H8O5,847449,207.02989
C7H12O7,1416798,207.05102
C11H12O4,36660832,207.06628
C12H16O3,2690153,207.10267
C11H14O4,144828448,209.08193
C12H18O3,1297190,209.11831
C10H12O5,1019739,211.06124
C12H20O3,4687339,211.13395
C9H10O6,2169759,213.04047
C10H14O5,1060007,213.0769
C11H18O4,2855343,213.11324
C12H22O3,7083960,213.14962
C13H26O2,1481408,213.18597
C9H12O6,7465329,215.05612
C11H20O4,6425986,215.12889
C12H24O3,1436555,215.16529
C12H10O4,1367109,217.05057
C10H18O5,2623315,217.10814
C11H8O5,2192668,219.02991
C7H12N2O6,1041187,219.06234
C12H12O4,2262308,219.06628
C15H24O1,889662,219.17542
C7H6N6O3,1930495,221.0428
C11H10O5,2154752,221.04556
C12H14O4,1924873,221.08194
C7H12O8,1032933,223.04594
C7H8N6O3,2907368,223.05861
C11H12O5,93893864,223.06121
C12H16O4,1999602,223.09758
C13H20O3,1956859,223.13396
C10H10O6,975566,225.04043
C7H14O8,2661587,225.06158
C11H14O5,10983127,225.07684
C12H18O4,2886880,225.11324
C13H22O3,994281,225.14961
C14H26O2,2267890,225.18601
C13H8O4,1650874,227.03497
C10H12O6,1797312,227.05607
C11H16O5,1501641,227.09251
C12H20O4,19290322,227.12889
C14H28O2,11372772,227.20167
C13H10O4,1680816,229.0506
C10H14O6,1655733,229.07175
C11H18O5,2634430,229.10813
C12H22O4,11963079,229.14455
C13H26O3,3206865,229.18093
C9H13N1O6,987054,230.06703
C12H8O5,1247136,231.0299
C13H12O4,1691049,231.0663
C10H16O6,892206,231.08742
C11H20O5,1861303,231.12379
C12H24O4,2539200,231.1602
C7H7N1O8,4098454,232.0099
C12H10O5,1032091,233.04555
C13H14O4,899492,233.08197
C15H22O2,2627767,233.1547
C11H8O6,1721231,235.02483
C8H12O8,2758805,235.04592
C12H12O5,2200729,235.06119
C14H20O3,1163435,235.13401
C10H6O7,933638,237.00409
C11H10O6,1699983,237.04049
C8H14O8,3746452,237.06161
C12H14O5,2724504,237.07684
C13H10N4O1,1095577,237.07828
C13H18O4,6483618,237.11325
C14H22O3,3283115,237.14961
C11H13N1O5,889493,238.07215
C10H8O7,1011335,239.01973
C11H12O6,4972688,239.05611
C8H16O8,994197,239.07721
C12H16O5,5646489,239.09249
C13H20O4,3466403,239.1289
C14H24O3,3353260,239.16525
C15H28O2,3606709,239.20168
C7H7N5O5,849290,240.03739
C10H10O7,1075849,241.0354
C14H10O4,854668,241.05061
C11H14O6,4049554,241.07174
C12H18O5,3608219,241.10816
C13H22O4,3482277,241.14453
C14H26O3,4571822,241.18091
C15H30O2,11134647,241.21733
