formula,intensity,m/z
C6H6O3,12188321,125.02441
C6H10O4,2341747,145.05063
C7H6O4,2517670,153.01931
C6H10O5,3891512,161.04555
C7H6O5,48475340,169.01425
C8H14O4,2205826,173.08192
C6H8O6,2521704,175.02481
C6H12O6,7133555,179.05611
C9H10O4,2384522,181.05062
C9H16O4,7759401,187.09758
C6H8O7,24414398,191.01973
C11H12O3,2524360,191.07136
C6H10O7,57776676,193.03538
C11H14O3,36362796,193.08702
C6H12O7,7301012,195.05103
C10H18O4,2806823,201.11324
C10H20O4,3602880,203.12888
C7H10O7,2504011,205.03537
C11H12O4,16141560,207.06628
C11H14O4,137553584,209.08193
C12H20O3,2680428,211.13397
C9H12O6,7331806,215.05612
C11H20O4,4833263,215.12888
C11H12O5,55751472,223.06121
C7H14O8,6123792,225.06158
C11H14O5,15324435,225.07684
C12H18O4,2723612,225.11323
C14H26O2,3019054,225.18599
C10H12O6,2380532,227.05608
C12H20O4,12861189,227.12888
C14H28O2,20371222,227.20166
C11H18O5,2732778,229.10815
C12H22O4,5562611,229.14455
C13H26O3,2319100,229.18093
C7H7N1O8,5504950,232.0099
C15H22O2,2961619,233.15469
C8H12O8,4286123,235.04594
C12H12O5,2234030,235.06119
C8H14O8,4291748,237.0616
C12H14O5,2383527,237.07683
C13H18O4,4638897,237.11325
C11H12O6,2753690,239.05612
C8H16O8,2627743,239.07725
C12H16O5,9339555,239.0925
C13H20O4,3085484,239.12889
C15H28O2,4528830,239.20168
C11H14O6,2958998,241.07175
C12H18O5,4063392,241.10816
C13H22O4,2754729,241.14455
C14H26O3,2395314,241.1809
C15H30O2,20804796,241.21732
C13H25N1O3,2534830,242.17618
C14H12O4,2431631,243.06628
C12H20O5,3474078,243.12382
C13H24O4,3547815,243.16016
C13H10O5,2526852,245.04556
C11H18O6,2281619,245.10308
C12H22O5,2478236,245.13943
C9H13N1O7,3453318,246.06196
C13H12O5,3654275,247.0612
C12H10O6,2656377,249.04048
C12H12O6,6350456,251.05612
C13H16O5,3505793,251.09251
C11H10O7,2333292,253.0354
C8H14O9,51810416,253.05652
C12H14O6,2435701,253.07176
C9H18O8,3765371,253.0929
C13H18O5,4841599,253.10815
C14H22O4,3826824,253.14454
C16H30O2,39579800,253.21731
C12H16O6,40440432,255.08743
C13H20O5,2476667,255.12381
C16H32O2,97358488,255.23297
C11H15N1O6,4276076,256.08266
C12H18O6,3260524,257.10305
C13H22O5,2682997,257.13944
C14H26O4,3994750,257.17583
C9H8O9,3328585,259.00955
C13H8O6,5795405,259.02482
C14H12O5,2747478,259.06119
C12H20O6,2413156,259.11873
C14H14O5,2531404,261.07683
C11H18O7,3058257,261.09786
C12H22O6,4151386,261.13437
C9H12O9,3162674,263.04086
C13H12O6,4235829,263.05611
C12H10O7,2453532,265.03537
C13H14O6,2832933,265.07178
C9H16O9,3921421,267.07215
C15H24O4,4557346,267.16021
C16H28O3,2729515,267.19661
C17H32O2,6782516,267.23297
C15H10O5,3687402,269.04557
C9H18O9,10760180,269.0878
C13H18O6,4658168,269.10306
C14H22O5,4241409,269.13947
C15H26O4,2294281,269.17584
C16H30O3,6174738,269.21224
C17H34O2,6686747,269.24862
C11H13N1O7,3263710,270.06193
C15H12O5,9544141,271.0612
C12H16O7,5412306,271.08232
C14H24O5,2579427,271.15508
C15H28O4,5272044,271.19147
C16H32O3,6902261,271.22786
C11H15N1O7,18195134,272.07757
C14H10O6,3027874,273.04049
C15H14O5,4469675,273.07685
C13H22O6,2987960,273.13436
C15H30O4,3600329,273.20713
C13H8O7,5084530,275.01972
C14H12O6,11150714,275.05611
C15H16O5,2629507,275.09248
C14H14O6,9107277,277.07175
C18H30O2,8652654,277.21733
C13H12O7,11270417,279.05102
C14H16O6,2614041,279.08739
C18H32O2,12958010,279.23298
C13H14O7,2712790,281.06665
C10H18O9,3136219,281.08782
C18H34O2,17345278,281.24863
C13H16O7,3519637,283.08232
C14H20O6,28191900,283.11873
C15H24O5,4216997,283.15513
C18H36O2,20044988,283.26425
C15H10O6,19848768,285.04046
C13H18O7,2614860,285.098
C14H22O6,5187156,285.13439
C15H26O5,2807899,285.17074
C16H30O4,5180003,285.20712
C11H13N1O8,13766425,286.05684
C15H12O6,24342510,287.0561
C14H24O6,4079618,287.14998
C15H28O5,4102154,287.1864
C16H32O4,9107473,287.22277
C11H15N1O8,3573956,288.07246
C14H10O7,2677133,289.03536
C15H14O6,208613776,289.07176
C13H8O8,3847972,291.01464
C14H12O7,7021356,291.05102
C15H16O6,58028852,291.08743
C18H28O3,5131081,291.19656
C10H15N1O9,3167225,292.06727
C17H10O5,2667709,293.04557
C10H14O10,4681919,293.05144
C14H14O7,13997249,293.06668
C18H30O3,35362016,293.21221
C13H12O8,6544968,295.04593
C14H16O7,25073232,295.08232
C15H20O6,2728023,295.11873
C18H32O3,16344684,295.22786
C13H14O8,5056463,297.0616
C14H18O7,9803733,297.09797
C15H22O6,6356956,297.13435
C16H26O5,2670563,297.17076
C18H34O3,52885488,297.24351
C13H16O8,11233613,299.07726
C14H20O7,69564752,299.11365
C16H28O5,3291489,299.18638
C17H32O4,5865832,299.22281
C18H36O3,17938798,299.2592
C15H10O7,55360184,301.03537
C14H22O7,2485963,301.12926
C15H26O6,4965073,301.16567
C16H30O5,3044056,301.20208
C17H34O4,8575711,301.23843
C15H12O7,52083752,303.05102
C16H32O5,2325064,303.21768
C14H10O8,2691468,305.03027
C15H14O7,635518336,305.06667
C18H26O4,2518950,305.17584
C14H12O8,5551855,307.04597
C15H16O7,41271028,307.08232
C18H28O4,12799752,307.19147
C10H15N1O10,12840864,308.06221
C10H14O11,2507337,309.04638
C14H14O8,6092876,309.06157
C16H22O6,2232408,309.13435
C17H26O5,4096094,309.1708
C18H30O4,62259300,309.20716
C13H12O9,3007900,311.04082
C14H16O8,10420642,311.07727
C11H20O10,2706853,311.09836
C15H20O7,3696040,311.11366
C16H24O6,4403630,311.15002
C17H28O5,7745972,311.18642
C18H32O4,32965050,311.22279
C13H14O9,4536044,313.05649
C14H18O8,19456754,313.09292
C15H22O7,5520120,313.12929
C16H26O6,2665726,313.16562
C18H34O4,22496010,313.23843
C16H12O7,2708532,315.051
C13H16O9,2586679,315.07214
C14H20O8,7986237,315.10852
C16H28O6,9655369,315.1813
C18H36O4,4908117,315.2541
C15H10O8,88425840,317.03028
C16H14O7,5875065,317.06668
C15H12O8,33203892,319.04593
C16H16O7,7704250,319.08235
C17H20O6,34416320,319.11872
C14H10O9,6025194,321.02518
C15H14O8,38053872,321.06162
C16H18O7,13584373,321.09797
C18H26O5,2231809,321.17075
C14H12O9,3594529,323.04087
C15H16O8,3514663,323.07724
C17H24O6,2953522,323.15006
C18H28O5,10033463,323.18639
C14H14O9,4356692,325.05648
C11H18O11,3340887,325.07763
C15H18O8,2953817,325.09293
C16H22O7,2987615,325.12926
C17H26O6,9202276,325.16569
C18H30O5,32246378,325.20204
C13H13N1O9,4539114,326.05183
C18H16O6,9923461,327.08743
C11H20O11,2281350,327.09332
C15H20O8,3873672,327.10853
C16H24O7,2914189,327.14497
C17H28O6,2351507,327.18122
C18H32O5,73452440,327.2177
C19H36O4,3855261,327.25411
C17H14O7,4507818,329.06667
C17H30O6,3520701,329.19699
C18H34O5,29945026,329.23336
C19H38O4,13208776,329.26975
C16H12O8,4352460,331.0459
C13H16O10,14654927,331.0671
C17H16O7,5987793,331.08234
C14H20O9,2553812,331.10348
C18H20O6,3413462,331.11871
C18H36O5,13708777,331.24899
C15H10O9,9953002,333.02524
C16H14O8,12631791,333.06157
C17H18O7,6115061,333.098
C18H22O6,4665082,333.13433
C15H12O9,4812811,335.04084
C16H16O8,24956944,335.07726
C17H20O7,70209560,335.11361
C22H43N1O1,4606146,336.32719
C10H6N6O8,2765091,337.01733
C15H14O9,12394792,337.05649
C16H18O8,31035694,337.0929
C18H26O6,4636984,337.16569
C11H26N6O6,2227514,337.18426
C16H21N1O7,4653503,338.12451
C14H12O10,7119423,339.03579
C15H16O9,7180868,339.07214
C12H20O11,4641351,339.09333
C16H20O8,2374217,339.10857
C17H24O7,4573774,339.14491
C18H28O6,6728275,339.18134
C15H18O9,3173212,341.08778
C12H22O11,28390238,341.10894
C16H22O8,4045665,341.12421
C17H26O7,4592486,341.16055
C18H30O6,16208747,341.19702
C12H30N4O7,3157868,341.20419
C19H34O5,2454384,341.2333
C20H38O4,3446645,341.26979
C13H13N1O10,19076064,342.04669
C14H16O10,9606254,343.06706
C18H16O7,3086448,343.08234
C11H20O12,2707569,343.08821
C15H20O9,2900083,343.10343
C16H24O8,8238200,343.13982
C18H32O6,29742210,343.21261
C19H36O5,4930695,343.24902
C17H14O8,3049855,345.06161
C18H18O7,2670980,345.09796
C15H22O9,3294599,345.1191
C18H34O6,5490070,345.22829
C19H38O5,4230555,345.26466
C17H16O8,6936211,347.07723
C18H20O7,3783319,347.11363
C16H14O9,15824799,349.05653
C17H18O8,6707108,349.09288
C12H16O12,7987374,351.05692
C16H16O9,17397936,351.07215
C17H20O8,4935861,351.10856
C18H24O7,2234041,351.14488
