formula,intensity,m/z
C5H6O3,5420388,113.0244
C7H6O2,2825026,121.02949
C6H6O3,6024082,125.0244
C5H7N1O3,2783941,128.0353
C5H8O4,6369795,131.03497
C6H12O3,2420994,131.07135
C4H7N1O4,2770287,132.03021
C7H6O3,5170089,137.02441
C6H4O4,3560605,139.00367
C6H8O4,2248226,143.03496
C6H10O4,6637495,145.05063
C5H9N1O4,4098246,146.04586
C8H8O3,2762569,151.04006
C7H6O4,16285336,153.01932
C6H6O5,4031597,157.01423
C8H14O3,2544241,157.087
C7H12O4,3171063,159.06627
C6H10O5,7714962,161.04553
C5H8O6,3669825,163.02481
C9H8O3,3044931,163.04007
C8H6O4,2490375,165.01931
C5H10O6,2355722,165.04045
C9H10O3,7478795,165.05572
C7H5N1O4,3459186,166.01458
C8H8O4,5298405,167.03498
C7H6O5,157880272,169.01424
C9H14O3,3166428,169.08701
C7H8O5,2527193,171.02989
C9H16O3,8659171,171.10265
C6H6O6,3909102,173.00916
C8H14O4,9724408,173.08192
C7H14N2O3,7756282,173.09316
C6H8O6,18146076,175.02481
C7H12O5,2591777,175.06118
C8H16O4,4264743,175.09757
C9H6O4,9042008,177.01932
C6H10O6,4665436,177.04045
C9H8O4,6487467,179.03498
C6H12O6,16104878,179.05611
C9H10O4,6568719,181.05061
C6H14O6,20293394,181.07174
C8H8O5,6643837,183.0299
C9H12O4,2559108,183.06629
C10H16O3,6179979,183.10266
C9H14O4,2801675,185.08192
C10H18O3,39791120,185.11832
C6H8N2O5,3318165,187.03604
C9H16O4,37882784,187.09757
C10H20O3,8252329,187.13396
C8H15N1O4,5455984,188.09281
C7H10O6,2330680,189.04045
C8H14O5,2793280,189.07683
C9H18O4,4435784,189.11321
C6H8O7,35077860,191.01972
C7H12O6,6244078,191.05612
C9H6O5,3304613,193.01423
C6H10O7,41803944,193.03538
C11H14O3,7854262,193.08702
C9H8O5,3002487,195.02988
C6H12O7,7144060,195.05104
C11H16O3,4333704,195.10265
C8H6O6,10691662,197.00916
C9H10O5,4603991,197.04554
C11H18O3,8926313,197.11832
C9H12O5,3161669,199.06119
C10H16O4,8666702,199.09758
C11H20O3,9942615,199.13396
C12H24O2,3735648,199.17035
C9H14O5,3755583,201.07686
C10H18O4,19368008,201.11324
C11H22O3,2704465,201.14959
C9H16O5,3516485,203.0925
C10H20O4,24095310,203.12886
C11H11N1O3,4962116,204.06662
C7H10O7,5126213,205.03535
C10H8O5,3078236,207.02987
C7H12O7,4414050,207.05102
C11H12O4,37793380,207.06627
C12H16O3,2497136,207.10267
C9H6O6,2232954,209.00915
C10H10O5,4391044,209.04556
C11H14O4,54112396,209.08192
C12H18O3,6326424,209.11829
C9H8O6,5213868,211.02482
C10H12O5,3532982,211.06118
C11H16O4,4094657,211.09756
C12H20O3,16761547,211.13395
C8H6O7,2530526,213.00409
C9H10O6,6700264,213.04048
C10H14O5,3884275,213.07685
C11H18O4,12479741,213.11323
C12H22O3,39228680,213.14962
C13H26O2,4605202,213.18599
C9H12O6,6418222,215.05611
C11H20O4,28116802,215.12888
C12H24O3,6406989,215.16527
C8H10O7,2879857,217.03535
C9H14O6,3103612,217.07174
C10H18O5,24172934,217.10813
C11H22O4,4519313,217.14451
C11H8O5,22178752,219.02991
C8H12O7,4429767,219.05103
C12H12O4,3815372,219.06629
C9H16O6,3226578,219.08744
C10H20O5,5299165,219.12381
C10H6O6,3635732,221.00918
C11H10O5,6079007,221.04556
C12H14O4,3806250,221.08193
C13H18O3,2676789,221.11832
C11H13N1O4,2970968,222.07716
C10H8O6,5004409,223.0248
C11H12O5,92274824,223.06121
C12H16O4,4143247,223.09757
C13H20O3,7780507,223.13394
C9H6O7,3881690,225.00408
C10H10O6,6873829,225.04044
C7H14O8,8080108,225.06157
C11H14O5,12366576,225.07683
C12H18O4,13744892,225.11324
C13H22O3,2728199,225.14962
C14H26O2,6810386,225.18598
C9H8O7,3576652,227.01973
C10H12O6,5227864,227.05609
C7H16O8,5186910,227.07722
C11H16O5,8052067,227.09251
C10H16N2O4,2634598,227.10371
C12H20O4,66028912,227.12889
C14H28O2,40846724,227.20166
C9H10O7,2949060,229.03539
C13H10O4,2794441,229.05065
C10H14O6,3573712,229.07175
C11H18O5,13936603,229.10813
C12H22O4,92129256,229.14455
C13H26O3,2822130,229.18091
C12H8O5,4634171,231.02989
C9H12O7,3060290,231.05106
C10H16O6,4801101,231.0874
C11H20O5,9286233,231.12378
C12H24O4,53766756,231.1602
C7H7N1O8,24591218,232.0099
C9H15N1O6,3981194,232.08269
C8H10O8,2982072,233.0303
C12H10O5,5139645,233.04556
C10H18O6,4419792,233.10305
C15H22O2,5649632,233.15468
C7H5N7O3,2511867,234.03812
C11H8O6,9748280,235.02481
C8H12O8,10090302,235.04593
C12H12O5,5851972,235.06119
C14H20O3,5685083,235.13395
C10H3N7O1,2860156,236.03265
C10H6O7,4236726,237.00406
C11H10O6,9003458,237.04047
C8H14O8,16875976,237.06161
C12H14O5,5933518,237.07683
C13H18O4,8759769,237.11325
C14H22O3,13988325,237.1496
C10H8O7,6123588,239.01973
C11H12O6,14349391,239.0561
C8H16O8,4098134,239.07727
C12H16O5,8830043,239.09249
C13H20O4,12545127,239.12889
C14H24O3,10165363,239.16525
C15H28O2,9010303,239.20167
C9H7N1O7,2227591,240.01498
C9H6O8,2670280,240.99897
C10H10O7,6713044,241.0354
C11H14O6,8064736,241.07174
C8H18O8,3633895,241.09288
C12H18O5,27965164,241.10816
C13H22O4,9400055,241.14453
C14H26O3,11439875,241.18091
C15H30O2,40105744,241.21733
C13H25N1O3,7948360,242.1762
C13H8O5,2382175,243.02988
C10H12O7,6885734,243.05103
C9H12N2O6,2632042,243.06226
C14H12O4,2954603,243.06629
C11H16O6,6510962,243.0874
C12H20O5,31504766,243.12381
C13H24O4,10969482,243.16016
C14H28O3,4642198,243.19658
C9H11N1O7,4172460,244.0463
C13H10O5,6595572,245.04556
C14H14O4,2224640,245.08196
C11H18O6,14724102,245.10309
C10H18N2O5,2842122,245.11426
C12H22O5,39369748,245.13943
C11H22N2O4,2301974,245.15068
C13H26O4,5790751,245.17582
C9H13N1O7,3258689,246.06196
C12H8O6,4975229,247.02483
C13H12O5,15888009,247.06118
C11H20O6,10319516,247.1187
C12H24O5,37404328,247.1551
C10H19N1O6,2429411,248.114
C11H6O7,4364552,249.00406
C12H10O6,9427220,249.04047
C9H14O8,3130651,249.06157
C13H14O5,5244192,249.07685
