Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,ESI-1,ESI-2,ESI-3,ESI-4,LDI-1,LDI-2,LDI-3,LDI-4,APCI-1,APCI-2,APCI-3,APCI-4,APPI-1,APPI-2,APPI-3,APPI-4
100.3333433,0,0,0,0,0,0,0,0,,None,101.3406198,0,0,0,0,0,0,3285251,0,0,0,4225783,0,0,0,0,0,7558655,0
103.00371,0,0,0,0,0,0,0,0,,None,104.0109865,0,0,4016940,0,2600138,0,0,0,0,0,0,0,0,0,0,0,0,0
111.008795,5,4,3,0,0,0,0,0,CHO,Lignin,112.0160715,-0.245252129,1,8356169,0,4593700,0,0,0,0,0,0,0,0,0,0,0,0,0
113.02441,5,6,3,0,0,0,0,0,CHO,Lignin,114.0316865,0.066578161,1,0,0,0,0,0,0,0,0,0,2801475,0,0,0,0,0,0
125.02441,6,6,3,0,0,0,0,0,CHO,Lignin,126.0316865,0.060238978,1,0,0,0,0,0,0,0,0,0,2424792,0,0,0,0,0,0
129.019345,5,6,4,0,0,0,0,0,CHO,Tannin,130.0266215,-0.098332786,1,3652353,0,3725057,0,0,0,0,0,0,0,0,0,0,0,0,0
130.99862,0,0,0,0,0,0,0,0,,None,132.0058965,0,0,3372727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133.05065,5,10,4,0,0,0,0,0,CHO,Carb,134.0579265,-0.1317153,1,0,0,2526711,0,0,0,0,0,0,0,0,0,0,0,0,0
137.00603,0,0,0,0,0,0,0,0,,None,138.0133065,0,0,0,0,0,0,4311542,0,0,0,0,0,0,0,0,0,0,0
142.50211,0,0,0,0,0,0,0,0,,None,143.5093865,0,0,0,0,0,0,4074724,0,0,0,0,0,0,0,0,0,0,0
143.107765,8,16,2,0,0,0,0,0,CHO,Lipid,144.1150415,-0.081248147,1,4799377,6999521,9885843,30727686,0,0,0,0,0,0,0,0,0,0,0,0
144.11112,7,16,2,0,1,0,0,0,CHO,Lipid,145.1183965,-0.081804101,0,0,0,0,5050901,0,0,0,0,0,0,0,0,0,0,0,0
145.05064,6,10,4,0,0,0,0,0,CHO,AminoSugar,146.0579165,-0.052427696,1,0,0,3411637,0,0,0,0,0,0,0,0,0,0,0,0,0
147.029905,5,8,5,0,0,0,0,0,CHO,Carb,148.0371815,-0.054713146,1,8127214,0,6938351,0,0,0,0,0,0,0,3059009,0,0,0,2413638,0
147.04515,9,8,2,0,0,0,0,0,CHO,Lignin,148.0524265,0.020493551,1,0,0,0,0,0,0,0,0,2419580,0,2956354,0,0,0,0,0
147.066295,6,12,4,0,0,0,0,0,CHO,AminoSugar,148.0735715,-0.085047452,1,6303471,0,7668464,0,0,0,0,0,0,0,0,0,0,0,0,0
149.00773,0,0,0,0,0,0,0,0,,None,150.0150065,0,0,3014976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.0085038,0,0,0,0,0,0,0,0,,None,150.0157802,0,0,15202111,0,10841920,0,0,0,0,0,0,0,0,0,3711383,0,7898001,0
149.0091635,0,0,0,0,0,0,0,0,,None,150.0164399,0,0,196958016,11371656,137672512,0,0,0,0,0,12990412,0,7292566,0,48836248,0,92393872,0
149.024416,8,6,3,0,0,0,0,0,CHO,ConHC,150.0316925,0.010611225,1,0,0,2712641,0,0,0,0,0,4559053,2551861,6656663,2611446,0,0,0,0
149.045555,5,10,5,0,0,0,0,0,CHO,Carb,150.0528315,-0.053550339,1,4479809,4077194,6747970,4939946,0,0,0,0,0,0,0,0,0,0,0,0
149.06081,9,10,2,0,0,0,0,0,CHO,Lignin,150.0680865,-0.045990325,1,0,0,2762307,0,0,0,0,0,0,2551479,3362713,0,0,0,0,0
149.50995,0,0,0,0,0,0,0,0,,None,150.5172265,0,0,0,0,0,0,2452523,0,0,0,0,0,0,0,0,0,0,0
149.99564,0,0,0,0,0,0,0,0,,None,151.0029165,0,0,0,0,0,0,5323716,0,2628459,0,0,0,0,0,0,0,0,0
149.99649,0,0,0,0,0,0,0,0,,None,151.0037665,0,0,0,0,0,0,2628291,0,0,0,0,0,0,0,0,0,0,0
150.0125193,0,0,0,0,0,0,0,0,,None,151.0197957,0,0,10372979,0,6496115,0,0,0,0,0,0,0,0,0,2373949,0,3385280,0
150.03225,0,0,0,0,0,0,0,0,,None,151.0395265,0,0,0,0,0,0,0,0,0,0,2814720,0,3688653,0,0,0,0,0
150.499548,0,0,0,0,0,0,0,0,,None,151.5068245,0,0,0,0,0,0,29683166,3105786,13339782,6924988,0,0,0,0,0,0,3763929,0
150.500285,0,0,0,0,0,0,0,0,,None,151.5075615,0,0,0,0,0,0,5610975,0,6072455,3138236,0,0,0,0,0,0,3872985,0
150.50039,0,0,0,0,0,0,0,0,,None,151.5076665,0,0,0,0,0,0,12522975,0,0,0,0,0,0,0,0,0,0,0
150.50126,0,0,0,0,0,0,0,0,,None,151.5085365,0,0,0,0,0,0,3778783,0,0,0,0,0,0,0,0,0,0,0
151.00126,0,0,0,0,0,0,0,0,,None,152.0085365,0,0,0,0,0,0,4194300,0,0,0,0,0,0,0,0,0,0,0
151.0037,7,4,4,0,0,0,0,0,CHO,ConHC,152.0109765,-0.117426257,1,3159468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.01341,0,0,0,0,0,0,0,0,,None,152.0206865,0,0,3528621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
