,A,B,C,D,E,F
0,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,C00058  Formate; Methanoate,C00058,CH2O2
1,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,C00033  Acetate; Ethanoate,C00033,C2H4O2
2,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,C00163  Propionate; Propanoate,C00163,C3H6O2
3,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,C00246  Butyrate; Butanoate,C00246,C4H8O2
4,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,C00803  Valerate; Pentanoate,C00803,C5H10O2
5,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,C01585  Capronate; Hexanoate,C01585,C6H12O2
6,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,C17714  Enanthate; Heptanoate,C17714,C7H14O2
7,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,C06423  Caprylate; Octanoate,C06423,C8H16O2
8,Organic acids,Carboxylic acids [Fig],Dicarboxylic acids,C00209  Oxalate,C00209,C2H2O4
9,Organic acids,Carboxylic acids [Fig],Dicarboxylic acids,C00383  Malonate,C00383,C3H4O4
10,Organic acids,Carboxylic acids [Fig],Dicarboxylic acids,C00042  Succinate,C00042,C4H6O4
11,Organic acids,Carboxylic acids [Fig],Dicarboxylic acids,C00489  Glutarate,C00489,C5H8O4
12,Organic acids,Carboxylic acids [Fig],Dicarboxylic acids,C06104  Adipate,C06104,C6H10O4
13,Organic acids,Carboxylic acids [Fig],Dicarboxylic acids,C02656  Pimelate,C02656,C7H12O4
14,Organic acids,Carboxylic acids [Fig],Dicarboxylic acids,C08278  Suberate,C08278,C8H14O4
15,Organic acids,Carboxylic acids [Fig],Tricarboxylic acids,C00158  Citrate,C00158,C6H8O7
16,Organic acids,Carboxylic acids [Fig],Tricarboxylic acids,C00311  Isocitrate,C00311,C6H8O7
17,Organic acids,Carboxylic acids [Fig],Tricarboxylic acids,C00417  cis-Aconitate,C00417,C6H6O6
18,Organic acids,Carboxylic acids [Fig],Tricarboxylic acids,C02341  trans-Aconitate,C02341,C6H6O6
19,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,C00048  Glyoxylate; Oxoacetate,C00048,C2H2O3
20,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,C00022  Pyruvate; 2-Oxopropanoate,C00022,C3H4O3
21,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,C00109  2-Oxobutanoate,C00109,C4H6O3
22,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,C06255  2-Oxovalerate,C06255,C5H8O3
23,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,C00902  2-Oxohexanoate,C00902,C6H10O3
24,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,C00036  Oxaloacetate; 2-Oxosuccinate,C00036,C4H4O5
25,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,C00026  2-Oxoglutarate,C00026,C5H6O5
26,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,C00322  2-Oxoadipate,C00322,C6H8O5
27,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,C16588  2-Oxopimelate,C16588,C7H10O5
28,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,C16589  2-Oxosuberate,C16589,C8H12O5
29,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,C00141  2-Oxoisovalerate,C00141,C5H8O3
30,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,C00233  2-Oxoisocaproate,C00233,C6H10O3
31,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,C00671  (S)-3-Methyl-2-oxopentanoic acid,C00671,C6H10O3
32,Organic acids,Carboxylic acids [Fig],3-Oxocarboxylic acids,C00222  3-Oxopropanoate,C00222,C3H4O3
33,Organic acids,Carboxylic acids [Fig],3-Oxocarboxylic acids,C00164  Acetoacetate; 3-Oxobutanoate,C00164,C4H6O3
34,Organic acids,Carboxylic acids [Fig],4-Oxocarboxylic acid,C00232  Succinate semialdehyde; 4-Oxobutanoate,C00232,C4H6O3
35,Organic acids,Carboxylic acids [Fig],Hydroxycarboxylic acids,C00186  L-Lactate; (S)-2-Hydroxypropanoate,C00186,C3H6O3
36,Organic acids,Carboxylic acids [Fig],Hydroxycarboxylic acids,C00149  Malate; (S)-2-Hydroxybutanediate,C00149,C4H6O5
37,Organic acids,Carboxylic acids [Fig],Hydroxycarboxylic acids,C01013  3-Hydroxypropanoate,C01013,C3H6O3
38,Organic acids,Carboxylic acids [Fig],Hydroxycarboxylic acids,C01089  (R)-3-Hydroxybutanoate,C01089,C4H8O3
39,Organic acids,Carboxylic acids [Fig],Hydroxycarboxylic acids,C00989  4-Hydroxybutanoate,C00989,C4H8O3
40,Lipids,Fatty acids [Fig],Saturated fatty acids,C00246  Butyric acid (4:0),C00246,C4H8O2
41,Lipids,Fatty acids [Fig],Saturated fatty acids,C01585  Caproic acid (6:0),C01585,C6H12O2
42,Lipids,Fatty acids [Fig],Saturated fatty acids,C06423  Caprylic acid (8:0),C06423,C8H16O2
43,Lipids,Fatty acids [Fig],Saturated fatty acids,C01571  Capric acid (10:0),C01571,C10H20O2
44,Lipids,Fatty acids [Fig],Saturated fatty acids,C02679  Lauric acid (12:0),C02679,C12H24O2
