,A,B,C,D,E,F
0,Pesticides,Fungicides,Others,C06588  Biphenyl,C06588,C12H10
1,Pesticides,Fungicides,Others,C11258  Bitertanol,C11258,C20H23N3O2
2,Pesticides,Fungicides,Others,C13034  Bronopol,C13034,C3H6BrNO4
3,Pesticides,Fungicides,Others,C18706  Butylamine,C18706,C4H11N
4,Pesticides,Fungicides,Others,C11000  Dichloran,C11000,C6H4Cl2N2O2
5,Pesticides,Fungicides,Others,C18458  Diclomezine,C18458,C11H8Cl2N2O
6,Pesticides,Fungicides,Others,C18721  Dinobuton,C18721,C14H18N2O7
7,Pesticides,Fungicides,Others,C18460  Echlomezole,C18460,C5H5Cl3N2OS
8,Pesticides,Fungicides,Others,C14268  Fenpiclonil,C14268,C11H6Cl2N2
9,Pesticides,Fungicides,Others,C18726  Fenpropidin,C18726,C19H31N
10,Pesticides,Fungicides,Others,C18462  Fludioxonil,C18462,C12H6F2N2O2
11,Pesticides,Fungicides,Others,C18737  Fuberidazole,C18737,C11H8N2O
12,Pesticides,Fungicides,Others,C11111  Isoprothiolane,C11111,C12H18O4S2
13,Pesticides,Fungicides,Others,C18746  Methasulfocarb,C18746,C9H11NO4S2
14,Pesticides,Fungicides,Others,C18447  Methyl bromide,C18447,CH3Br
15,Pesticides,Fungicides,Others,C18448  Methyl iodide,C18448,CH3I
16,Pesticides,Fungicides,Others,C18751  Nitrapyrin,C18751,C6H3Cl4N
17,Pesticides,Fungicides,Others,C18873  Nitrothal-isopropyl,C18873,C14H17NO6
18,Pesticides,Fungicides,Others,C11012  Pencycuron,C11012,C19H21ClN2O
19,Pesticides,Fungicides,Others,C11151  Phenylmercury acetate,C11151,C8H8HgO2
20,Pesticides,Fungicides,Others,C06701  Phosphonate,C06701,H3PO3
21,Pesticides,Fungicides,Others,C18483  Probenazole,C18483,C10H9NO3S
22,Pesticides,Fungicides,Others,C18487  Pyroquilon,C18487,C11H11NO
23,Pesticides,Fungicides,Others,C18575  Quinoxaline,C18575,C8H6N2
24,Pesticides,Fungicides,Others,C18892  Quinoxyfen,C18892,C15H8Cl2FNO
25,Pesticides,Fungicides,Others,C11124  Spiroxamine,C11124,C18H35NO2
26,Pesticides,Fungicides,Others,C18492  Tricyclazole,C18492,C9H7N3S
27,Pesticides,Herbicides,Others,C01471  Acrolein,C01471,C3H4O
28,Pesticides,Herbicides,Others,C02001  Allyl alcohol,C02001,C3H6O
29,Pesticides,Herbicides,Others,C11261  Amitrole,C11261,C2H4N4
30,Pesticides,Herbicides,Others,C18775  Benazolin,C18775,C9H6ClNO3S
31,Pesticides,Herbicides,Others,C18452  Benfuresate,C18452,C12H16O4S
32,Pesticides,Herbicides,Others,C10964  Benoxacor,C10964,C11H11Cl2NO2
33,Pesticides,Herbicides,Others,C18594  Bentazone-sodium,C18594,C10H11N2O3S. Na
34,Pesticides,Herbicides,Others,C18536  Benzobicyclon,C18536,C22H19ClO4S2
35,Pesticides,Herbicides,Others,C11094  Carfentrazone-ethyl,C11094,C15H14Cl2F3N3O3
36,Pesticides,Herbicides,Others,C18570  Chloridazon,C18570,C10H8ClN3O
37,Pesticides,Herbicides,Others,C06755  Chloroacetic acid,C06755,C2H3ClO2
38,Pesticides,Herbicides,Others,C10903  Cinmethylin,C10903,C18H26O2
39,Pesticides,Herbicides,Others,C11095  Clomazone,C11095,C12H14ClNO2
40,Pesticides,Herbicides,Others,C18782  Dichlormid,C18782,C8H11Cl2NO
41,Pesticides,Herbicides,Others,C18719  Dimethipin,C18719,C6H10O4S2
42,Pesticides,Herbicides,Others,C18600  Dalapon,C18600,C3H4Cl2O2
43,Pesticides,Herbicides,Others,C18724  Endothal-disodium,C18724,C8H8O5. 2Na
44,Pesticides,Herbicides,Others,C18829  Ethofumesate,C18829,C13H18O5S
45,Pesticides,Herbicides,Others,C18831  Fenchlorazole-ethyl,C18831,C12H8Cl5N3O2
46,Pesticides,Herbicides,Others,C18832  Fenclorim,C18832,C10H6Cl2N2
47,Pesticides,Herbicides,Others,C18788  Flamprop-M,C18788,C16H13ClFNO3
48,Pesticides,Herbicides,Others,C18543  Flupoxam,C18543,C19H14ClF5N4O2
49,Pesticides,Herbicides,Others,C18854  Flupropanate,C18854,C3H2F4O2
50,Pesticides,Herbicides,Others,C18857  Fluridone,C18857,C19H14F3NO
51,Pesticides,Herbicides,Others,C11100  Flurochloridone,C11100,C12H10Cl2F3NO
52,Pesticides,Herbicides,Others,C18859  Fluthiacet,C18859,C14H13ClFN3O3S2
53,Pesticides,Herbicides,Others,C10908  Fluthiacet-methyl,C10908,C15H15ClFN3O3S2
54,Pesticides,Herbicides,Others,C18735  Fluxofenim,C18735,C12H11ClF3NO3
55,Pesticides,Herbicides,Others,C18470  Indanofan,C18470,C20H17ClO3
56,Pesticides,Herbicides,Others,C18874  Norflurazon,C18874,C12H9ClF3N3O
57,Pesticides,Herbicides,Others,C18878  Oxabetrinil,C18878,C12H12N2O3
58,Pesticides,Herbicides,Others,C18496  Oxadiazon,C18496,C15H18Cl2N2O3
59,Pesticides,Herbicides,Others,C18571  Oxaziclomefone,C18571,C20H19Cl2NO2
60,Pesticides,Herbicides,Others,C18592  Pentoxazone,C18592,C17H17ClFNO4
61,Pesticides,Herbicides,Others,C18803  Pyridate,C18803,C19H23ClN2O2S
62,Pesticides,Herbicides,Others,C18485  Pyriftalid,C18485,C15H14N2O4S
63,Pesticides,Herbicides,Others,C18584  Quinoclamin,C18584,C10H6ClNO2
64,Pesticides,Herbicides,Others,C11150  TCA,C11150,C2HCl3O2
65,Pesticides,Herbicides,Others,C18808  TCA-sodium,C18808,C2Cl3O2. Na
66,Pesticides,Insecticides,Others,C18455  Chlorfenapyr,C18455,C15H11BrClF3N2O
67,Pesticides,Insecticides,Others,C18816  Cryolite,C18816,Na3AlF6
68,Pesticides,Insecticides,Others,C18463  Flonicamid,C18463,C9H6F3N3O
69,Pesticides,Insecticides,Others,C18520  Flubendiamide,C18520,C23H22F7IN2O4S
70,Pesticides,Insecticides,Others,C10994  Hydramethylnon,C10994,C25H24F6N4
71,Pesticides,Insecticides,Others,C18862  Hydroprene,C18862,C17H30O2
72,Pesticides,Insecticides,Others,C18569  Indoxacarb,C18569,C22H17ClF3N3O7
