,A,B,C,D,E,F
0,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10841  Anatoxin a,C10841,C10H15NO
1,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10842  Anisodamine,C10842,C17H23NO4
2,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10844  Apohyoscine,C10844,C17H19NO3
3,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C01479  Atropine,C01479,C17H23NO3
4,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10843  Apoatropine,C10843,C17H21NO2
5,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10845  Belladonnine,C10845,C34H42N2O4
6,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10846  Bellendine,C10846,C12H15NO2
7,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10849  Brugine,C10849,C12H19NO2S2
8,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10850  Calystegin A3,C10850,C7H13NO3
9,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10581  Cichorine,C10581,C10H11NO3
10,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C01416  Cocaine,C01416,C17H21NO4
11,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10853  Cochlearine,C10853,C15H19NO3
12,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10854  Convolamine,C10854,C17H23NO4
13,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10856  Convolvine,C10856,C16H21NO4
14,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10852  Cinnamoylcocaine,C10852,C19H23NO4
15,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10857  Darlingine,C10857,C13H17NO2
16,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10858  Ecgonine,C10858,C9H15NO3
17,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C12448  Ecgonine methyl ester,C12448,C10H17NO3
18,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10847  Benzoylecgonine,C10847,C16H19NO4
19,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C12449  Pseudoecgonine,C12449,C9H15NO3
20,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C12450  Pseudoecgonyl-CoA,C12450,C30H49N8O18P3S
21,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C02046  L-Hyoscyamine,C02046,C17H23NO3
22,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C03325  (6S)-Hydroxyhyoscyamine,C03325,C17H23NO4
23,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10862  Norhyoscyamine,C10862,C16H21NO3
24,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10859  Knightinol,C10859,C17H23NO3
25,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10860  Littorine,C10860,C17H23NO3
26,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10861  Meteloidine,C10861,C13H21NO4
27,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C02066  Pseudotropine,C02066,C8H15NO
28,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10863  Phyllalbine,C10863,C16H21NO4
29,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10864  Physoperuvine,C10864,C8H15NO
30,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C01851  Scopolamine,C01851,C17H21NO4
31,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10866  Scopoline,C10866,C8H13NO2
32,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10867  Strobamine,C10867,C17H19NO2
33,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10848  Tropacocaine,C10848,C15H19NO2
34,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C00729  Tropine,C00729,C8H15NO
35,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C12453  Acetylpseudotropine,C12453,C10H17NO2
36,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C12452  Acetyltropine,C12452,C10H17NO2
37,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C00783  Tropinone,C00783,C8H13NO
38,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10868  Tigloidine,C10868,C13H21NO2
39,Alkaloids,Alkaloids derived from ornithine,Tropane alkaloids,C10869  Valeroidine,C10869,C13H23NO3
40,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10123  Adenocarpine,C10123,C19H24N2O
41,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10125  Ammodendrine,C10125,C12H20N2O
42,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C06183  L-(+)-Anaferine,C06183,C13H24N2O
43,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C11358  D-(-)-Anaferine,C11358,C13H24N2O
44,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10127  Anibine,C10127,C11H9NO3
45,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10130  Astrocasine,C10130,C20H26N2O
46,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10131  Astrophylline,C10131,C19H26N2O
47,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10134  Buchananine,C10134,C12H15NO7
48,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10135  Carpaine,C10135,C28H50N2O4
49,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10136  Cassine,C10136,C18H35NO2
50,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10139  Cryptophorine,C10139,C17H27NO
51,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10141  Deoxymannojirimycin,C10141,C6H13NO4
52,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10142  Dioscorine,C10142,C13H19NO2
53,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10144  Fagomine,C10144,C6H13NO3
54,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10146  Fusaric acid,C10146,C10H13NO2
55,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10148  Girgensonine,C10148,C13H16N2O
56,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10150  Harzianopyridone,C10150,C14H19NO5
57,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10156  Lobelanidine,C10156,C22H29NO2
58,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10157  Lobelanine,C10157,C22H25NO2
59,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C07475  Lobeline,C07475,C22H27NO2
60,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10153  Isolobinine,C10153,C18H25NO2
61,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10158  Mearsine,C10158,C9H13NO
62,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10162  Nigrifactin,C10162,C12H17N
63,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10163  Nitramine,C10163,C10H19NO
64,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10164  Picolinic acid,C10164,C6H5NO2
65,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10166  Piplartine,C10166,C17H19NO5
66,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C06182  Pelletierine,C06182,C8H15NO
67,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C06184  N-Methylpelletierine,C06184,C9H17NO
68,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10865  Pseudopelletierine,C10865,C9H15NO
69,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C00408  L-Pipecolate,C00408,C6H11NO2
70,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C06181  Piperideine,C06181,C5H9N
71,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C03882  Piperine,C03882,C17H19NO3
72,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10167  (+)-Prosopinine,C10167,C18H35NO3
73,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10168  Pseudoconhydrine,C10168,C8H17NO
74,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10170  Santiaguine,C10170,C38H48N4O2
75,Alkaloids,Alkaloids derived from lysine,Piperidine alkaloids,C10171  (-)-Sedamine,C10171,C14H21NO
76,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C06180  Anabasine,C06180,C10H14N2
77,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C11357  (-)-Anabasine,C11357,C10H14N2
78,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C10126  Anatabine,C10126,C10H12N2
79,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C10128  Arecaidine,C10128,C7H11NO2
80,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C10129  Arecoline,C10129,C8H13NO2
81,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C10149  Guvacine,C10149,C6H9NO2
82,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C10160  Myosmine,C10160,C9H10N2
83,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C10161  Nicotyrine,C10161,C10H10N2
84,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C00153  Nicotinamide,C00153,C6H6N2O
85,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C00253  Nicotinate,C00253,C6H5NO2
86,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C00745  Nicotine,C00745,C10H14N2
87,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C01004  N-Methylnicotinate,C01004,C7H7NO2
88,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C01020  6-Hydroxynicotinate,C01020,C6H5NO3
89,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C01185  Nicotinate D-ribonucleotide,C01185,C11H15NO9P
90,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C13051  Nicotinic acid adenine dinucleotide phosphate,C13051,C21H28N6O18P3
91,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C06524  Nornicotine,C06524,C9H12N2
92,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C11360  (+)-Nornicotine,C11360,C9H12N2
93,Alkaloids,Alkaloids derived from nicotinic acid,Pyridine alkaloids,C01526  Ricinine,C01526,C8H8N2O2
94,Alkaloids,Alkaloids derived from tyrosine,Tyramine derivatives,C10575  Candicine,C10575,C11H18NO
95,Alkaloids,Alkaloids derived from tyrosine,Tyramine derivatives,C03758  Dopamine,C03758,C8H11NO2
96,Alkaloids,Alkaloids derived from tyrosine,Tyramine derivatives,C06199  Hordenine,C06199,C10H15NO
97,Alkaloids,Alkaloids derived from tyrosine,Tyramine derivatives,C06546  Mescaline,C06546,C11H17NO3
98,Alkaloids,Alkaloids derived from tyrosine,Tyramine derivatives,C08310  N-Methylmescaline,C08310,C12H19NO3
99,Alkaloids,Alkaloids derived from tyrosine,Tyramine derivatives,C00483  Tyramine,C00483,C8H11NO
100,Alkaloids,Alkaloids derived from tyrosine,Tyramine derivatives,C02442  N-Methyltyramine,C02442,C9H13NO
101,Alkaloids,Alkaloids derived from tryptophan and anthranilic acid,Pyrroloindole alkaloids,C09133  (-)-Chimonanthine,C09133,C22H26N4
102,Alkaloids,Alkaloids derived from tryptophan and anthranilic acid,Pyrroloindole alkaloids,C09170  Eseramine,C09170,C16H22N4O3
103,Alkaloids,Alkaloids derived from tryptophan and anthranilic acid,Pyrroloindole alkaloids,C09176  Eseridine,C09176,C15H21N3O3
104,Alkaloids,Alkaloids derived from tryptophan and anthranilic acid,Pyrroloindole alkaloids,C06535  Physostigmine,C06535,C15H21N3O2
105,Alkaloids,Alkaloids derived from tryptophan and anthranilic acid,Pyrroloindole alkaloids,C09232  Physovenine,C09232,C14H18N2O3
106,Alkaloids,Alkaloids derived from histidine,Imidazole alkaloids,C16696  Dolichotheline,C16696,C10H17N3O
107,Alkaloids,Alkaloids derived from histidine,Imidazole alkaloids,C07474  Pilocarpine,C07474,C11H16N2O2
108,Alkaloids,Alkaloids derived from histidine,Imidazole alkaloids,C10610  Pilosine,C10610,C16H18N2O3
109,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C06543  Solanidine,C06543,C27H43NO
110,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C06545  Conessine,C06545,C24H40N2
111,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10795  Buxamine E,C10795,C26H44N2
112,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10796  alpha-Chaconine,C10796,C45H73NO14
113,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10797  Cyclobuxine D,C10797,C25H42N2O
114,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10798  Cyclopamine,C10798,C27H41NO2
115,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10799  Cycloprotobuxine C,C10799,C27H48N2
116,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10801  Cyclovirobuxine C,C10801,C27H48N2O
117,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10803  Demissine,C10803,C50H83NO20
118,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10806  Funtumine,C10806,C21H35NO
119,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10807  Germine,C10807,C27H43NO8
120,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10808  Imperialine,C10808,C27H43NO3
121,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10810  Irehine,C10810,C23H39NO
122,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10811  Jervine,C10811,C27H39NO3
123,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10813  Kurchessine,C10813,C25H44N2
124,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10814  Paravallarine,C10814,C22H33NO2
125,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10830  Peimine,C10830,C27H45NO3
126,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10815  Protoveratrine A,C10815,C41H63NO14
127,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10816  Protoveratrine B,C10816,C41H63NO15
128,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10817  Protoverine,C10817,C27H43NO9
129,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10818  Solacapine,C10818,C27H48N2O2
130,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10819  Solamargine,C10819,C45H73NO15
131,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10820  Solanine,C10820,C45H73NO15
132,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10821  Solanocapsine,C10821,C27H46N2O2
133,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10822  Solasodine,C10822,C27H43NO2
134,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10824  Solasonine,C10824,C45H73NO16
135,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10825  Terminaline,C10825,C23H41NO2
136,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10826  Tomatidine,C10826,C27H45NO2
137,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10827  Tomatine,C10827,C50H83NO21
138,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10828  Veracevine,C10828,C27H43NO8
