,A,B,C,D,E,F
0,Fungal toxins,Mushroom toxins,Others,C19949  Acromelic acid A,C19949,C13H14N2O7
1,Fungal toxins,Mushroom toxins,Others,C19977  Clitidine,C19977,C11H14N2O6
2,Fungal toxins,Mushroom toxins,Others,C08271  Coprine,C08271,C8H14N2O4
3,Fungal toxins,Mushroom toxins,Others,C08305  Gyromitrin,C08305,C4H8N2O
4,Fungal toxins,Mushroom toxins,Others,C10600  Ibotenic acid,C10600,C5H6N2O4
5,Fungal toxins,Mushroom toxins,Others,C19978  Sclerocitrin,C19978,C36H22O17
6,Fungal toxins,Mushroom toxins,Others,C06047  Stizolobate,C06047,C9H9NO6
7,Fungal toxins,Mushroom toxins,Others,C06048  Stizolobinate,C06048,C9H9NO6
8,Fungal toxins,Mushroom toxins,Others,C19979  Ustalic acid,C19979,C19H14O6
9,Fungal toxins,Mushroom toxins,Others,C19976  Valinopine,C19976,C10H17NO6
10,Fungal toxins,Mycotoxins,Others,C16765  Citrinin,C16765,C13H14O5
11,Fungal toxins,Mycotoxins,Others,C09955  Ochratoxin A,C09955,C20H18ClNO6
12,Fungal toxins,Mycotoxins,Others,C16748  Patulin,C16748,C7H6O4
13,Fungal toxins,Mycotoxins,Others,C09981  Zearalenone,C09981,C18H22O5
14,Fungal toxins,Mycotoxins,Others,C16838  Alternariol,C16838,C14H10O5
15,Fungal toxins,Mycotoxins,Others,C08511  Tenuazonic acid,C08511,C10H15NO3
16,Fungal toxins,Mycotoxins,Others,C08441  Tentoxin,C08441,C22H30N4O4
17,Fungal toxins,Mycotoxins,Others,C11590  Beauvericin,C11590,C45H57N3O9
18,Fungal toxins,Mycotoxins,Others,C15740  Enniatin B,C15740,C33H57N3O9
19,Fungal toxins,Mycotoxins,Others,C15757  Enniatin D,C15757,C34H59N3O9
20,Fungal toxins,Mycotoxins,Others,C20591  Fusaproliferin,C20591,C27H40O5
21,Fungal toxins,Mycotoxins,Others,C20592  Moniliformin,C20592,C4H2O3
22,Fungal toxins,Mycotoxins,Others,C16766  Citreoviridin,C16766,C23H30O6
23,Fungal toxins,Mycotoxins,Others,C19379  Cyclochlorotine,C19379,C24H31Cl2N5O7
24,Fungal toxins,Mycotoxins,Others,C03032  Cyclopiazonic acid,C03032,C20H20N2O3
25,Fungal toxins,Mycotoxins,Others,C19953  Cytochalasin A,C19953,C29H35NO5
26,Fungal toxins,Mycotoxins,Others,C19954  Cytochalasin B,C19954,C29H37NO5
27,Fungal toxins,Mycotoxins,Others,C10595  Gliotoxin,C10595,C13H14N2O4S2
28,Fungal toxins,Mycotoxins,Others,C16763  Luteoskyrin,C16763,C30H22O12
29,Fungal toxins,Mycotoxins,Others,C20046  Mollicellin C,C20046,C22H20O8
30,Fungal toxins,Mycotoxins,Others,C16804  Penicillic acid,C16804,C8H10O4
31,Fungal toxins,Mycotoxins,Others,C19955  Phomopsin A,C19955,C36H45ClN6O12
32,Fungal toxins,Mycotoxins,Others,C06079  PR-toxin,C06079,C17H20O6
33,Fungal toxins,Mycotoxins,Others,C16767  Rubratoxin B,C16767,C26H30O11
34,Fungal toxins,Mycotoxins,Others,C16764  Rugulosin,C16764,C30H22O10
35,Fungal toxins,Mycotoxins,Others,C16768  Sporidesmin J,C16768,C17H18ClN3O6S2
36,Fungal toxins,Mycotoxins,Others,C00961  Sterigmatocystin,C00961,C18H12O6
37,Fungal toxins,Mycotoxins,Others,C20045  Verruculogen,C20045,C27H33N3O7
38,Fungal toxins,Mycotoxins,Others,C14752  alpha-Zearalanol,C14752,C18H26O5
39,Fungal toxins,Mycotoxins,Others,C14750  alpha-Zearalenol,C14750,C18H24O5
40,Fungal toxins,Mycotoxins,Others,C14751  beta-Zearalenol,C14751,C18H24O5
41,Phytotoxins,Alkaloids,Others,C10573  Calycanthine,C10573,C22H26N4
42,Phytotoxins,Alkaloids,Others,C19984  Cerberin,C19984,C32H48O9
43,Phytotoxins,Alkaloids,Others,C12227  Chelerythrine,C12227,C21H18NO4
44,Phytotoxins,Alkaloids,Others,C08677  Delphinine,C08677,C33H45NO9
45,Phytotoxins,Alkaloids,Others,C10660  Dictamnine,C10660,C12H9NO2
46,Phytotoxins,Alkaloids,Others,C10774  Matrine,C10774,C15H24N2O
47,Phytotoxins,Alkaloids,Others,C19985  Nantenine,C19985,C20H21NO4
